FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
40,-0.030396,0.72436,0.004119,-0.19882,0.53888,0.007817,-0.32686,0.70837,-0.10022,0.17494,0.55115,0.002462,0.27409,0.73333,-0.11953,-0.32426,0.9299,-0.17333,0.28215,0.9864,-0.20385,-0.083254,-0.009874,-0.031447,0.080172,-0.007014,-0.033832,-0.10506,-0.47437,-0.040958,0.1079,-0.4697,-0.038341,-0.10211,-0.84718,0.024852,0.11925,-0.84571,0.020056
41,-0.031383,0.7212,-0.001427,-0.19936,0.53633,0.004219,-0.3276,0.7033,-0.1074,0.17411,0.54837,4.4e-05,0.27351,0.72911,-0.12621,-0.32486,0.9244,-0.18207,0.28139,0.98166,-0.2133,-0.083995,-0.012223,-0.029301,0.0802,-0.008968,-0.032172,-0.10666,-0.47525,-0.046816,0.10753,-0.47154,-0.043309,-0.10221,-0.84861,0.023357,0.11893,-0.8464,0.019365
42,-0.032331,0.71649,-0.00796,-0.19964,0.53208,-0.000184,-0.32816,0.69712,-0.11469,0.1731,0.54495,-0.002715,0.27289,0.72383,-0.13373,-0.32527,0.91773,-0.19169,0.28039,0.97592,-0.22374,-0.084769,-0.015264,-0.026719,0.080238,-0.011732,-0.029948,-0.1083,-0.47609,-0.052547,0.10716,-0.47334,-0.048826,-0.10232,-0.8502,0.021783,0.1186,-0.84708,0.018594
43,-0.033145,0.71066,-0.014652,-0.19983,0.5266,-0.004753,-0.32858,0.68925,-0.12287,0.17171,0.53977,-0.006488,0.27215,0.71749,-0.14214,-0.32559,0.91027,-0.20225,0.2792,0.96869,-0.23563,-0.085721,-0.01926,-0.023511,0.080291,-0.015433,-0.027182,-0.10999,-0.47701,-0.058181,0.10682,-0.47488,-0.054675,-0.10234,-0.85193,0.020344,0.11828,-0.84782,0.017131
44,-0.0339,0.70347,-0.021882,-0.2,0.51993,-0.009744,-0.32897,0.68032,-0.13184,0.16982,0.53136,-0.011897,0.27143,0.71004,-0.15153,-0.3258,0.90155,-0.21438,0.27793,0.96046,-0.24829,-0.086624,-0.024442,-0.019777,0.08052,-0.02057,-0.023531,-0.11174,-0.47795,-0.063475,0.10636,-0.4768,-0.060702,-0.10236,-0.85347,0.019136,0.11801,-0.8486,0.015699
45,-0.034492,0.69467,-0.029566,-0.20009,0.51173,-0.015223,-0.32926,0.66974,-0.14134,0.16775,0.52147,-0.0179,0.27066,0.70008,-0.16126,-0.32601,0.89206,-0.22723,0.27652,0.95121,-0.26203,-0.087414,-0.031076,-0.015544,0.080722,-0.026925,-0.01947,-0.11354,-0.47902,-0.068702,0.10586,-0.47811,-0.066397,-0.10239,-0.85498,0.017858,0.11771,-0.84938,0.014311
46,-0.035058,0.68512,-0.037195,-0.20019,0.50263,-0.020737,-0.32951,0.65779,-0.15095,0.16563,0.51102,-0.024139,0.26972,0.68882,-0.17069,-0.32624,0.88172,-0.24016,0.27512,0.94107,-0.27619,-0.088139,-0.038403,-0.011284,0.080939,-0.034057,-0.015292,-0.1151,-0.48041,-0.073598,0.10518,-0.47956,-0.071807,-0.10236,-0.85633,0.016634,0.11746,-0.85024,0.012988
47,-0.035553,0.67385,-0.045069,-0.20029,0.49216,-0.026813,-0.32973,0.64511,-0.16071,0.16325,0.49807,-0.031425,0.2687,0.67624,-0.17991,-0.32656,0.87069,-0.2533,0.27374,0.93041,-0.29013,-0.088872,-0.046775,-0.006904,0.081262,-0.042696,-0.010929,-0.11652,-0.48219,-0.078053,0.10447,-0.48164,-0.077347,-0.10221,-0.85767,0.015252,0.11715,-0.85124,0.011666
48,-0.036034,0.65838,-0.054115,-0.20026,0.47712,-0.034609,-0.33014,0.6277,-0.1715,0.16041,0.48165,-0.039904,0.26746,0.66137,-0.19122,-0.32699,0.85369,-0.26706,0.27185,0.91542,-0.30605,-0.089518,-0.059244,-0.00228,0.081592,-0.055232,-0.00596,-0.11797,-0.48463,-0.082539,0.10354,-0.48495,-0.083153,-0.10202,-0.85978,0.013862,0.11678,-0.85286,0.010234
49,-0.03648,0.64238,-0.06295,-0.20004,0.46182,-0.042356,-0.33055,0.61023,-0.18204,0.15791,0.46577,-0.047779,0.26602,0.64566,-0.20247,-0.32729,0.83669,-0.28064,0.26991,0.90043,-0.32102,-0.089959,-0.072113,0.001764,0.081931,-0.067966,-0.001657,-0.11908,-0.48791,-0.087377,0.10252,-0.48838,-0.088668,-0.10176,-0.86192,0.012746,0.11627,-0.85438,0.008714
