FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
77,0.001705,0.73849,-0.01294,-0.14756,0.48738,-0.088223,-0.34699,0.57784,-0.17926,0.19913,0.48842,0.047249,0.33486,0.519,0.12703,-0.18736,0.69916,-0.10717,0.19988,0.63982,0.051042,-0.084629,-0.002325,-0.045742,0.042319,-0.012461,-0.0278,-0.12525,-0.33462,0.078137,0.090155,-0.35693,-0.14249,-0.15558,-0.65642,0.25815,0.1415,-0.65863,-0.28022
78,0.000106,0.73849,-0.014794,-0.14853,0.487,-0.090452,-0.34807,0.57719,-0.18229,0.19906,0.48803,0.047609,0.33345,0.51969,0.12752,-0.18822,0.69916,-0.10916,0.1996,0.63953,0.050206,-0.085443,-0.002698,-0.046944,0.041336,-0.012537,-0.029082,-0.12588,-0.33462,0.077603,0.089582,-0.35686,-0.14337,-0.15603,-0.65644,0.25812,0.14121,-0.65863,-0.2807
79,-0.001026,0.73849,-0.016979,-0.14927,0.48657,-0.092628,-0.34906,0.57653,-0.1852,0.19901,0.48717,0.047445,0.33331,0.52053,0.12715,-0.18899,0.69916,-0.11139,0.19928,0.63918,0.049286,-0.085889,-0.002997,-0.048249,0.040637,-0.012634,-0.030467,-0.1263,-0.33462,0.077028,0.089237,-0.35648,-0.14438,-0.15643,-0.65644,0.25802,0.14094,-0.65863,-0.28089
80,-0.001787,0.73839,-0.019205,-0.15011,0.48609,-0.09506,-0.35005,0.57587,-0.18808,0.19761,0.48687,0.046098,0.33224,0.52042,0.12577,-0.18984,0.69916,-0.11389,0.1976,0.63918,0.048388,-0.086324,-0.003225,-0.049522,0.040198,-0.012695,-0.031752,-0.12653,-0.33462,0.076368,0.088865,-0.35572,-0.14547,-0.15649,-0.65644,0.25786,0.14061,-0.65824,-0.28093
81,-0.002507,0.73817,-0.021312,-0.15093,0.4856,-0.09748,-0.35101,0.57522,-0.19088,0.19704,0.48695,0.044441,0.33172,0.51934,0.12424,-0.19079,0.69912,-0.11668,0.19668,0.63828,0.045434,-0.086753,-0.003413,-0.050777,0.039765,-0.012747,-0.033017,-0.12678,-0.33461,0.075613,0.088522,-0.35425,-0.14648,-0.15656,-0.65642,0.25764,0.14016,-0.65762,-0.28101
82,-0.003275,0.73786,-0.023556,-0.15144,0.48511,-0.099934,-0.35149,0.57448,-0.19391,0.19912,0.48557,0.042836,0.33224,0.51934,0.12362,-0.19178,0.69884,-0.12037,0.19666,0.63658,0.042106,-0.087191,-0.00357,-0.052209,0.039318,-0.012843,-0.034327,-0.12705,-0.33447,0.074827,0.088438,-0.35214,-0.1481,-0.15664,-0.65631,0.25741,0.14009,-0.65686,-0.28122
83,-0.003535,0.7374,-0.026084,-0.15146,0.48446,-0.10276,-0.35154,0.57364,-0.19731,0.2014,0.48368,0.040881,0.33311,0.51934,0.12277,-0.19244,0.69821,-0.12451,0.19528,0.63484,0.037703,-0.08737,-0.00373,-0.054287,0.03912,-0.012942,-0.03616,-0.12719,-0.33444,0.07347,0.089088,-0.34953,-0.15041,-0.15676,-0.65575,0.25681,0.14001,-0.65599,-0.28143
84,-0.003079,0.7365,-0.029427,-0.15159,0.48333,-0.10618,-0.351,0.57241,-0.20155,0.20057,0.48283,0.038285,0.33258,0.51824,0.12088,-0.19294,0.69686,-0.12959,0.19506,0.63302,0.032613,-0.086832,-0.004127,-0.057634,0.039695,-0.013052,-0.038674,-0.12696,-0.33452,0.071349,0.091075,-0.34597,-0.15442,-0.15669,-0.65485,0.25582,0.13999,-0.65496,-0.28174
85,-0.00198,0.73488,-0.033598,-0.15094,0.48155,-0.11055,-0.34989,0.57068,-0.20648,0.20193,0.48083,0.034863,0.33434,0.5146,0.11741,-0.19317,0.69473,-0.13577,0.19569,0.63008,0.028109,-0.08523,-0.005145,-0.062026,0.041375,-0.013632,-0.04243,-0.12612,-0.3346,0.068207,0.094545,-0.34208,-0.16072,-0.15646,-0.65368,0.25443,0.13985,-0.6542,-0.28242
86,-0.000358,0.73225,-0.038802,-0.14982,0.47893,-0.11562,-0.34808,0.56802,-0.21212,0.20432,0.48102,0.030823,0.33671,0.51052,0.11328,-0.19336,0.69156,-0.14298,0.19706,0.6269,0.022228,-0.082607,-0.007016,-0.067927,0.044219,-0.01504,-0.047701,-0.12425,-0.33465,0.063158,0.10011,-0.33792,-0.17003,-0.15595,-0.65197,0.25229,0.14041,-0.65419,-0.28384
87,0.001866,0.72863,-0.044639,-0.14816,0.47519,-0.12181,-0.34575,0.5643,-0.21871,0.2055,0.4822,0.02759,0.3399,0.50554,0.10923,-0.19327,0.68698,-0.15102,0.19927,0.62122,0.015703,-0.07871,-0.009635,-0.075351,0.04805,-0.017177,-0.054095,-0.12175,-0.33492,0.055776,0.10713,-0.33404,-0.1817,-0.155,-0.64953,0.2492,0.14142,-0.65419,-0.28575
88,0.00439,0.72392,-0.05159,-0.14611,0.47068,-0.12852,-0.34263,0.55922,-0.22625,0.20917,0.48045,0.023618,0.34366,0.49766,0.10406,-0.19168,0.68152,-0.15979,0.20179,0.61427,0.00838,-0.07304,-0.013095,-0.084374,0.05283,-0.020003,-0.061153,-0.11879,-0.33564,0.045818,0.11519,-0.33148,-0.19527,-0.15375,-0.64631,0.24499,0.14287,-0.65404,-0.28821
89,0.007139,0.71755,-0.059381,-0.14298,0.46389,-0.13682,-0.33883,0.55305,-0.23467,0.21159,0.47754,0.015038,0.34687,0.48876,0.095469,-0.18956,0.67501,-0.16897,0.20485,0.60638,-0.000306,-0.066396,-0.017741,-0.094832,0.058949,-0.023618,-0.069799,-0.11541,-0.33701,0.033008,0.12404,-0.33062,-0.21063,-0.15215,-0.64284,0.2392,0.14483,-0.65404,-0.29111
90,0.010636,0.70955,-0.067919,-0.1388,0.45535,-0.14618,-0.33409,0.5451,-0.24405,0.21242,0.47419,0.006332,0.34947,0.47873,0.086188,-0.18669,0.66686,-0.17894,0.20859,0.5971,-0.005649,-0.058956,-0.024108,-0.10655,0.065857,-0.028846,-0.07996,-0.1107,-0.33852,0.015644,0.13425,-0.33062,-0.22885,-0.1505,-0.64051,0.2302,0.14707,-0.65413,-0.29426
91,0.014689,0.69955,-0.077265,-0.1345,0.44582,-0.15583,-0.32903,0.53527,-0.25447,0.21304,0.4707,-0.003079,0.35232,0.46683,0.075806,-0.18219,0.65773,-0.18882,0.2112,0.5885,-0.013615,-0.051091,-0.031976,-0.11945,0.073373,-0.035512,-0.091759,-0.10495,-0.34201,-0.004998,0.14481,-0.33062,-0.24842,-0.14904,-0.63819,0.21844,0.1494,-0.65422,-0.29827
92,0.019013,0.68765,-0.087348,-0.12948,0.43341,-0.16685,-0.32362,0.52362,-0.26551,0.2143,0.46745,-0.013057,0.35481,0.45304,0.06488,-0.177,0.64665,-0.19914,0.21258,0.57696,-0.024277,-0.042695,-0.041785,-0.13338,0.081072,-0.044001,-0.10416,-0.098759,-0.34765,-0.02721,0.15553,-0.33062,-0.26906,-0.14804,-0.63666,0.20548,0.15152,-0.65442,-0.30245
93,0.023508,0.67387,-0.097547,-0.12424,0.41925,-0.1784,-0.3179,0.5103,-0.27691,0.21591,0.46337,-0.024143,0.35882,0.43552,0.053495,-0.17148,0.63389,-0.2097,0.21329,0.5627,-0.037011,-0.034389,-0.053394,-0.14709,0.088444,-0.054664,-0.11728,-0.092212,-0.35577,-0.050599,0.16601,-0.33154,-0.2908,-0.14739,-0.63611,0.19173,0.15304,-0.65497,-0.30742
94,0.028118,0.6583,-0.10814,-0.11901,0.40382,-0.19001,-0.31223,0.49536,-0.28878,0.21774,0.4571,-0.035895,0.36113,0.41974,0.042527,-0.1663,0.61945,-0.22123,0.21409,0.54893,-0.048403,-0.026324,-0.066781,-0.16063,0.095466,-0.067113,-0.13079,-0.084889,-0.36682,-0.07554,0.17597,-0.3351,-0.31216,-0.14668,-0.63611,0.1776,0.15393,-0.656,-0.31187
95,0.033264,0.64128,-0.11851,-0.11336,0.3866,-0.20185,-0.30666,0.47906,-0.30114,0.21942,0.44745,-0.047801,0.36333,0.40268,0.031109,-0.16063,0.60389,-0.23295,0.21589,0.53429,-0.055066,-0.018568,-0.08169,-0.17414,0.10215,-0.080712,-0.14372,-0.078104,-0.37985,-0.099678,0.18443,-0.34074,-0.33217,-0.14621,-0.63611,0.16416,0.15419,-0.65788,-0.31558
96,0.038156,0.62313,-0.1291,-0.10809,0.36929,-0.21292,-0.30128,0.46111,-0.31339,0.22106,0.43628,-0.060313,0.36445,0.38459,0.019104,-0.15489,0.58752,-0.24458,0.21776,0.51671,-0.066419,-0.011283,-0.097938,-0.18726,0.10887,-0.095634,-0.15659,-0.071008,-0.39467,-0.12313,0.19197,-0.34865,-0.35218,-0.14601,-0.63611,0.15066,0.15405,-0.6608,-0.3189
97,0.042771,0.60285,-0.13929,-0.1025,0.34878,-0.22494,-0.29625,0.4419,-0.32538,0.22267,0.42181,-0.074007,0.36717,0.36694,0.007252,-0.15127,0.56813,-0.25732,0.22005,0.49837,-0.075694,-0.00484,-0.11666,-0.19977,0.1155,-0.11298,-0.17012,-0.063166,-0.41256,-0.1461,0.19906,-0.35927,-0.37281,-0.14566,-0.63739,0.13697,0.15367,-0.66378,-0.32181
98,0.047019,0.58216,-0.1496,-0.097881,0.32941,-0.23553,-0.29174,0.42137,-0.33731,0.22593,0.40637,-0.083778,0.37219,0.34654,-0.001627,-0.14843,0.54725,-0.27052,0.22266,0.47725,-0.084396,0.000857,-0.13625,-0.21172,0.12104,-0.13159,-0.18281,-0.054939,-0.43203,-0.16765,0.20555,-0.37089,-0.393,-0.14521,-0.63992,0.12385,0.15325,-0.6663,-0.3247
99,0.050415,0.56022,-0.15936,-0.093787,0.3083,-0.246,-0.28782,0.40044,-0.34867,0.22989,0.38824,-0.093973,0.37675,0.32618,-0.010231,-0.14613,0.52617,-0.28273,0.22757,0.45727,-0.093749,0.005702,-0.15703,-0.22283,0.12545,-0.15192,-0.19498,-0.047192,-0.45442,-0.18547,0.21169,-0.38459,-0.41213,-0.14446,-0.64415,0.11361,0.15289,-0.66885,-0.3276
100,0.053123,0.53899,-0.16899,-0.089792,0.28685,-0.25619,-0.28391,0.37916,-0.35931,0.23317,0.36906,-0.10326,0.38091,0.30511,-0.018039,-0.14481,0.50426,-0.29417,0.23387,0.43436,-0.098968,0.010371,-0.17802,-0.23305,0.12928,-0.17205,-0.2056,-0.040217,-0.47648,-0.20018,0.21735,-0.39797,-0.42961,-0.14339,-0.64996,0.10618,0.1533,-0.67169,-0.32988
101,0.055363,0.517,-0.17756,-0.086445,0.26558,-0.26506,-0.28015,0.35804,-0.36913,0.2366,0.34664,-0.11229,0.38512,0.28483,-0.025504,-0.14507,0.48134,-0.30684,0.23977,0.41191,-0.10466,0.014596,-0.19939,-0.24231,0.13304,-0.19299,-0.21543,-0.033357,-0.49868,-0.21308,0.22312,-0.41118,-0.44672,-0.14208,-0.65638,0.10035,0.15348,-0.67496,-0.33206
102,0.057437,0.49545,-0.18566,-0.083199,0.24497,-0.27327,-0.27696,0.33739,-0.37819,0.23975,0.3254,-0.12028,0.38769,0.26738,-0.032698,-0.14578,0.45966,-0.31855,0.24571,0.39208,-0.11039,0.018293,-0.22045,-0.25111,0.13657,-0.21309,-0.22417,-0.026702,-0.52018,-0.22415,0.22841,-0.42385,-0.46193,-0.14052,-0.66192,0.095656,0.15365,-0.67838,-0.33335
103,0.059383,0.475,-0.19265,-0.080025,0.22521,-0.28077,-0.274,0.31803,-0.38627,0.2427,0.30528,-0.12745,0.39101,0.24732,-0.039287,-0.14614,0.43925,-0.32839,0.25263,0.37052,-0.11527,0.021354,-0.24024,-0.25941,0.13961,-0.23217,-0.23161,-0.02113,-0.5398,-0.23271,0.23336,-0.43499,-0.47606,-0.13926,-0.6676,0.091685,0.15354,-0.68133,-0.3342
104,0.060713,0.4561,-0.19892,-0.077363,0.20726,-0.28748,-0.27137,0.30036,-0.39321,0.24528,0.28659,-0.13401,0.39415,0.22857,-0.044918,-0.14638,0.41997,-0.33689,0.25966,0.34889,-0.11893,0.023703,-0.25862,-0.26666,0.14175,-0.25027,-0.2387,-0.015702,-0.55815,-0.24042,0.23812,-0.445,-0.48939,-0.13791,-0.67331,0.087615,0.15338,-0.68352,-0.33518
105,0.062055,0.43874,-0.20423,-0.074695,0.18973,-0.29392,-0.26876,0.28481,-0.39922,0.24771,0.26936,-0.1398,0.39731,0.21122,-0.049699,-0.14668,0.40227,-0.34451,0.26454,0.33256,-0.12227,0.025018,-0.27581,-0.27324,0.1427,-0.26722,-0.24501,-0.011097,-0.57513,-0.24677,0.24238,-0.45388,-0.50105,-0.13658,-0.67719,0.084762,0.15325,-0.68508,-0.33644
106,0.063573,0.42399,-0.20871,-0.072606,0.17566,-0.29885,-0.26653,0.27149,-0.40437,0.24966,0.25482,-0.14443,0.39896,0.19594,-0.054185,-0.14641,0.38805,-0.35021,0.26925,0.31851,-0.12575,0.025191,-0.29024,-0.27889,0.14258,-0.28169,-0.25008,-0.007749,-0.58908,-0.25113,0.24568,-0.46073,-0.5106,-0.13561,-0.67902,0.083457,0.15333,-0.6865,-0.33822
107,0.065159,0.41121,-0.21214,-0.070826,0.16258,-0.30347,-0.2646,0.26045,-0.40846,0.2514,0.24207,-0.14851,0.39883,0.18409,-0.058285,-0.14583,0.37623,-0.35463,0.27329,0.30822,-0.12804,0.024733,-0.30271,-0.28368,0.14202,-0.29424,-0.25435,-0.005225,-0.60089,-0.25401,0.2485,-0.46628,-0.51884,-0.13501,-0.67931,0.082615,0.15352,-0.68768,-0.34002
108,0.066595,0.40128,-0.21527,-0.069772,0.153,-0.30693,-0.26316,0.25168,-0.41172,0.25244,0.23246,-0.15155,0.39868,0.17334,-0.061769,-0.14554,0.36631,-0.35886,0.27463,0.29869,-0.12985,0.024045,-0.31228,-0.28799,0.14148,-0.30354,-0.25755,-0.003587,-0.60968,-0.25588,0.25005,-0.46975,-0.52543,-0.1345,-0.68185,0.082438,0.15422,-0.68867,-0.34187
