FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
54,0.011774,0.75563,-0.040047,-0.13528,0.55653,-0.016901,-0.23841,0.78928,-0.038611,0.15487,0.54882,-0.021708,0.24146,0.78804,-0.032459,-0.28385,0.99316,-0.061848,0.27564,0.98787,-0.062656,-0.054266,0.049761,-0.038548,0.081578,0.052037,-0.043029,-0.10633,-0.31533,-0.024561,0.12542,-0.30656,-0.011585,-0.11528,-0.64294,0.021508,0.13824,-0.6328,0.020001
55,0.011052,0.75591,-0.040451,-0.13544,0.55634,-0.016866,-0.23915,0.78909,-0.039201,0.15468,0.54894,-0.021707,0.24132,0.78829,-0.032809,-0.28529,0.99182,-0.063422,0.27566,0.9877,-0.063262,-0.053885,0.049773,-0.035865,0.082014,0.052321,-0.040552,-0.10595,-0.31752,-0.024076,0.12576,-0.30747,-0.0122,-0.11501,-0.64368,0.021439,0.1378,-0.6353,0.019214
56,0.010338,0.75615,-0.040884,-0.13562,0.55617,-0.016723,-0.23993,0.78879,-0.039894,0.15439,0.549,-0.021715,0.24115,0.78861,-0.033246,-0.28679,0.99045,-0.065307,0.27568,0.98752,-0.064047,-0.0535,0.049783,-0.033119,0.082452,0.052747,-0.037856,-0.1056,-0.31976,-0.023645,0.12606,-0.30831,-0.012918,-0.11471,-0.64438,0.021366,0.13744,-0.63757,0.018165
57,0.009625,0.75615,-0.04132,-0.1358,0.55601,-0.016584,-0.24076,0.78822,-0.040713,0.15408,0.54906,-0.021732,0.24093,0.78875,-0.03382,-0.28825,0.9891,-0.067319,0.2757,0.98738,-0.065004,-0.053108,0.049698,-0.030464,0.082905,0.053202,-0.034923,-0.10524,-0.32171,-0.023337,0.12636,-0.30922,-0.013759,-0.11444,-0.64509,0.021222,0.13701,-0.63946,0.017029
58,0.008854,0.75615,-0.041788,-0.136,0.55587,-0.016432,-0.24164,0.78761,-0.041596,0.15377,0.54906,-0.021751,0.24069,0.78904,-0.034491,-0.28972,0.9876,-0.069685,0.27572,0.98738,-0.066354,-0.052786,0.04961,-0.027742,0.083338,0.053691,-0.031766,-0.10495,-0.32373,-0.023136,0.12665,-0.31006,-0.014703,-0.1142,-0.64581,0.020968,0.13673,-0.6408,0.015886
59,0.00804,0.75615,-0.042211,-0.13623,0.55576,-0.016267,-0.24271,0.78701,-0.042752,0.15316,0.54906,-0.021904,0.24039,0.78929,-0.035348,-0.29117,0.98598,-0.072335,0.27574,0.98738,-0.067949,-0.052511,0.049506,-0.024598,0.083723,0.054074,-0.02853,-0.10473,-0.32546,-0.023049,0.12698,-0.31078,-0.015752,-0.11396,-0.64649,0.020566,0.1365,-0.64207,0.014674
60,0.007044,0.7561,-0.042668,-0.13648,0.55556,-0.016092,-0.24397,0.78615,-0.044477,0.15258,0.54906,-0.022075,0.24008,0.78952,-0.036612,-0.29272,0.98433,-0.075542,0.27573,0.98734,-0.070269,-0.052118,0.049466,-0.020768,0.084306,0.0542,-0.024596,-0.10462,-0.32671,-0.023046,0.12736,-0.31138,-0.016904,-0.11377,-0.64708,0.020071,0.13643,-0.64335,0.013473
61,0.005737,0.75552,-0.043289,-0.13689,0.55531,-0.015901,-0.24538,0.78521,-0.04665,0.15158,0.5489,-0.02243,0.23977,0.78952,-0.03903,-0.29437,0.98345,-0.078956,0.27568,0.9872,-0.073125,-0.051759,0.049396,-0.016313,0.084849,0.0542,-0.02028,-0.10454,-0.32793,-0.023043,0.12777,-0.31201,-0.018142,-0.11363,-0.64782,0.019424,0.13646,-0.64446,0.012304
62,0.004171,0.75447,-0.044284,-0.13729,0.55496,-0.015783,-0.24677,0.78373,-0.04932,0.15061,0.54873,-0.022784,0.23948,0.78952,-0.041846,-0.29603,0.98242,-0.082703,0.27557,0.98708,-0.076593,-0.05144,0.049167,-0.011678,0.085397,0.0542,-0.015877,-0.10447,-0.32901,-0.023042,0.12821,-0.31251,-0.019454,-0.11355,-0.6486,0.018719,0.13649,-0.64538,0.011159
63,0.002321,0.75248,-0.045372,-0.1377,0.55439,-0.015782,-0.24829,0.78176,-0.052473,0.14967,0.54848,-0.023131,0.23909,0.78952,-0.045666,-0.29783,0.98087,-0.087315,0.27521,0.98671,-0.082543,-0.051028,0.048718,-0.006422,0.086005,0.0542,-0.011096,-0.10434,-0.32979,-0.023449,0.12874,-0.31298,-0.021088,-0.1135,-0.64939,0.017814,0.13652,-0.64648,0.010006
