FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
105,-0.025878,0.74589,-0.080993,-0.16076,0.54425,-0.043569,-0.26957,0.73523,-0.098865,0.1205,0.55804,-0.033504,0.21773,0.75375,-0.081285,-0.3388,0.93776,-0.16262,0.26887,0.94721,-0.14237,-0.075481,0.047389,-0.063217,0.05464,0.049544,-0.059729,-0.11408,-0.32479,-0.0646,0.084384,-0.32367,-0.086924,-0.096207,-0.6503,-0.006839,0.098681,-0.6477,-0.058092
106,-0.016552,0.7458,-0.081266,-0.15282,0.54446,-0.043652,-0.26042,0.73557,-0.098961,0.12797,0.55713,-0.034473,0.22473,0.75305,-0.082919,-0.3294,0.93783,-0.16271,0.27599,0.94653,-0.14444,-0.068422,0.047397,-0.06268,0.061687,0.049544,-0.059942,-0.10718,-0.32397,-0.067109,0.089434,-0.32507,-0.086569,-0.0934,-0.6503,-0.007154,0.10011,-0.64844,-0.057806
107,-0.007401,0.74573,-0.081361,-0.1452,0.54467,-0.043732,-0.25136,0.73602,-0.099056,0.13537,0.55631,-0.035447,0.23169,0.75264,-0.084267,-0.31993,0.93815,-0.16281,0.2828,0.94597,-0.14607,-0.061478,0.047536,-0.06175,0.068734,0.049548,-0.060016,-0.10106,-0.32341,-0.071191,0.094263,-0.32551,-0.086228,-0.092052,-0.6503,-0.008777,0.1015,-0.64928,-0.05755
108,0.001469,0.74573,-0.081454,-0.13782,0.54492,-0.043809,-0.24208,0.73655,-0.098785,0.14235,0.55562,-0.036318,0.23855,0.75251,-0.085529,-0.31074,0.93878,-0.16291,0.28937,0.94538,-0.14735,-0.054756,0.04777,-0.060655,0.075808,0.049702,-0.06009,-0.095341,-0.32293,-0.079132,0.098961,-0.32551,-0.085922,-0.091126,-0.64872,-0.013468,0.10277,-0.65007,-0.057425
109,0.009419,0.74572,-0.081537,-0.12876,0.54593,-0.042292,-0.23336,0.73758,-0.097591,0.1504,0.5538,-0.036608,0.24485,0.75147,-0.086293,-0.3021,0.94014,-0.16226,0.29507,0.94494,-0.14799,-0.048963,0.048264,-0.0594,0.081953,0.049856,-0.060154,-0.091167,-0.3219,-0.091336,0.10311,-0.32544,-0.085694,-0.090342,-0.64568,-0.020161,0.10393,-0.65078,-0.057299
110,0.017696,0.74558,-0.081381,-0.11886,0.547,-0.040328,-0.22445,0.7386,-0.095914,0.15919,0.55199,-0.036857,0.25155,0.75059,-0.087185,-0.29305,0.94152,-0.1609,0.30114,0.94466,-0.14894,-0.042883,0.049337,-0.057595,0.088682,0.050107,-0.059878,-0.087819,-0.31613,-0.11019,0.10746,-0.32544,-0.085369,-0.089358,-0.64029,-0.033815,0.1049,-0.6513,-0.057193
111,0.025155,0.74535,-0.081019,-0.1113,0.54797,-0.038217,-0.21671,0.73972,-0.093961,0.16536,0.55114,-0.036941,0.25733,0.74965,-0.087829,-0.28498,0.94295,-0.15907,0.30658,0.94426,-0.14991,-0.037402,0.050579,-0.055597,0.094939,0.050441,-0.059822,-0.085659,-0.30828,-0.13194,0.11185,-0.3235,-0.08502,-0.088357,-0.62972,-0.050345,0.1056,-0.65167,-0.057077
112,0.032733,0.74508,-0.080453,-0.10386,0.54868,-0.036125,-0.20899,0.74065,-0.092319,0.17289,0.55033,-0.037019,0.26393,0.74871,-0.0887,-0.27663,0.94416,-0.15727,0.31223,0.94371,-0.15118,-0.031885,0.052152,-0.05369,0.10147,0.051044,-0.05984,-0.083604,-0.28991,-0.16109,0.11588,-0.32093,-0.084976,-0.087405,-0.60881,-0.072222,0.10613,-0.65197,-0.056971
113,0.039914,0.74477,-0.079799,-0.096764,0.54936,-0.034161,-0.20146,0.74134,-0.090746,0.17979,0.54922,-0.037092,0.27029,0.74773,-0.089406,-0.26868,0.94515,-0.15563,0.31774,0.94321,-0.15259,-0.026803,0.053926,-0.052166,0.10759,0.05175,-0.060071,-0.081329,-0.26938,-0.19181,0.11938,-0.3182,-0.085068,-0.086264,-0.58232,-0.096374,0.10649,-0.65231,-0.056774
114,0.046732,0.74441,-0.079117,-0.090412,0.55005,-0.032269,-0.1945,0.74216,-0.089143,0.1861,0.54808,-0.036632,0.27641,0.74661,-0.089853,-0.26117,0.94611,-0.15439,0.32317,0.94278,-0.15392,-0.02204,0.055516,-0.051055,0.11338,0.052622,-0.060199,-0.079481,-0.24456,-0.22452,0.12258,-0.31521,-0.085371,-0.084999,-0.55071,-0.12362,0.10658,-0.65248,-0.056689
