FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
29,0.018752,0.74247,-0.038214,-0.12126,0.54672,-0.011208,-0.20328,0.7709,-0.057223,0.14926,0.53175,-0.022915,0.22127,0.75885,-0.070154,-0.23793,0.9824,-0.10139,0.24666,0.98449,-0.11097,-0.063277,0.051269,-0.014799,0.072877,0.051162,-0.022148,-0.12583,-0.30337,-0.026026,0.11414,-0.3102,-0.019636,-0.13935,-0.64381,0.002054,0.13901,-0.64354,-0.005837
30,0.018748,0.73987,-0.04503,-0.11979,0.54672,-0.012077,-0.19854,0.7709,-0.057226,0.14894,0.53175,-0.023798,0.22122,0.75885,-0.070154,-0.23197,0.9824,-0.10139,0.24507,0.98449,-0.11097,-0.063273,0.051269,-0.007995,0.073321,0.051162,-0.015349,-0.12583,-0.30342,-0.026917,0.11454,-0.3102,-0.020324,-0.13935,-0.64486,0.000698,0.13936,-0.64512,-0.007466
31,0.019097,0.73415,-0.052002,-0.11866,0.54514,-0.015306,-0.19478,0.7709,-0.057572,0.14894,0.52951,-0.025995,0.22122,0.75885,-0.070154,-0.22734,0.9824,-0.10139,0.2448,0.98369,-0.11097,-0.062702,0.051269,0.000921,0.073762,0.051162,-0.006227,-0.12598,-0.30464,-0.027668,0.11502,-0.3102,-0.021452,-0.13935,-0.64591,-0.000789,0.13937,-0.64686,-0.009288
32,0.019047,0.72506,-0.058618,-0.11751,0.54093,-0.018529,-0.19186,0.76906,-0.059645,0.14866,0.5241,-0.028476,0.22063,0.75441,-0.071489,-0.22418,0.98186,-0.1014,0.2448,0.98345,-0.11097,-0.062618,0.048803,0.011393,0.073769,0.048205,0.004604,-0.12715,-0.30695,-0.028582,0.11563,-0.3102,-0.023002,-0.14008,-0.64721,-0.002933,0.13936,-0.64881,-0.011497
33,0.019034,0.71224,-0.064866,-0.11636,0.53082,-0.021854,-0.19043,0.76061,-0.063818,0.14838,0.51494,-0.031324,0.22062,0.74525,-0.074318,-0.22226,0.97623,-0.10412,0.2448,0.97432,-0.11135,-0.062611,0.041308,0.023346,0.073776,0.040317,0.01718,-0.12876,-0.31024,-0.030002,0.11646,-0.3108,-0.025269,-0.1406,-0.64923,-0.005216,0.13936,-0.6508,-0.013982
34,0.018832,0.69414,-0.070693,-0.11583,0.51903,-0.024878,-0.18917,0.746,-0.070061,0.1481,0.50189,-0.034326,0.22046,0.7303,-0.078707,-0.22117,0.9646,-0.11319,0.24479,0.95926,-0.11575,-0.062685,0.030907,0.040229,0.073817,0.029385,0.034442,-0.1307,-0.31406,-0.032024,0.11788,-0.31276,-0.029067,-0.14099,-0.6516,-0.007588,0.13936,-0.65272,-0.017385
35,0.017733,0.67381,-0.075984,-0.11483,0.49831,-0.027936,-0.18818,0.72506,-0.077573,0.14613,0.48195,-0.037468,0.22115,0.70951,-0.084273,-0.22076,0.94527,-0.12621,0.24592,0.94038,-0.12351,-0.062515,0.013862,0.058041,0.074128,0.01213,0.053453,-0.13372,-0.31929,-0.037705,0.1203,-0.31599,-0.036189,-0.14124,-0.65498,-0.010079,0.13896,-0.6553,-0.021129
36,0.016127,0.64804,-0.080758,-0.11379,0.47499,-0.031023,-0.18779,0.70091,-0.085987,0.14413,0.45914,-0.040911,0.22247,0.68508,-0.09155,-0.22077,0.92167,-0.14245,0.24794,0.91817,-0.13317,-0.062393,-0.006781,0.076492,0.074406,-0.008798,0.072259,-0.13696,-0.32461,-0.044117,0.12289,-0.31933,-0.044646,-0.14142,-0.65873,-0.012645,0.13831,-0.6587,-0.025286
37,0.014275,0.61834,-0.084944,-0.11287,0.4426,-0.034025,-0.1878,0.66808,-0.095028,0.142,0.42953,-0.044222,0.22499,0.65387,-0.099516,-0.22078,0.88978,-0.16007,0.25283,0.88402,-0.14725,-0.062573,-0.032519,0.093392,0.0746,-0.034702,0.08995,-0.14084,-0.3314,-0.052087,0.12546,-0.32422,-0.05441,-0.14151,-0.6628,-0.014872,0.1375,-0.66221,-0.029273
38,0.012358,0.58049,-0.088088,-0.11296,0.40248,-0.037111,-0.18781,0.62703,-0.10378,0.13996,0.39174,-0.047643,0.22747,0.61391,-0.10699,-0.22079,0.85203,-0.17763,0.2578,0.84224,-0.16122,-0.062757,-0.066679,0.10907,0.074778,-0.068837,0.10685,-0.14502,-0.33979,-0.061895,0.12798,-0.33208,-0.066146,-0.14154,-0.66705,-0.01702,0.13635,-0.66633,-0.033205
39,0.010393,0.54272,-0.088798,-0.11315,0.35688,-0.040314,-0.18781,0.58057,-0.11048,0.13798,0.35193,-0.050892,0.22943,0.57285,-0.11225,-0.22123,0.80748,-0.19214,0.26155,0.80061,-0.17278,-0.062749,-0.10309,0.12231,0.074846,-0.10419,0.1208,-0.14947,-0.34837,-0.07257,0.13077,-0.34024,-0.078415,-0.14152,-0.67157,-0.018852,0.13512,-0.66954,-0.03617
40,0.008476,0.50144,-0.088932,-0.11248,0.31672,-0.041305,-0.18814,0.53976,-0.11632,0.13583,0.31113,-0.052823,0.23133,0.53058,-0.11688,-0.22296,0.76489,-0.20544,0.26529,0.7571,-0.18351,-0.062742,-0.14043,0.1335,0.074976,-0.14113,0.13257,-0.15361,-0.35668,-0.084284,0.13395,-0.34917,-0.091273,-0.14155,-0.67628,-0.020494,0.13379,-0.67304,-0.038996
41,0.006532,0.46092,-0.08893,-0.11279,0.27723,-0.042498,-0.18882,0.49755,-0.12216,0.13369,0.27066,-0.054557,0.23291,0.4888,-0.12025,-0.2247,0.71573,-0.21748,0.2691,0.71395,-0.19327,-0.062753,-0.17626,0.14327,0.0753,-0.17778,0.1429,-0.15681,-0.36442,-0.096015,0.13736,-0.35868,-0.10441,-0.14155,-0.68101,-0.021458,0.13255,-0.67656,-0.041432
42,0.004616,0.4191,-0.08944,-0.11307,0.24135,-0.04403,-0.18936,0.45777,-0.12735,0.13154,0.22949,-0.056243,0.23429,0.44623,-0.12395,-0.22653,0.66971,-0.22873,0.2729,0.67344,-0.20134,-0.062794,-0.21152,0.15107,0.075878,-0.21356,0.1506,-0.15977,-0.37166,-0.10774,0.14079,-0.36824,-0.11736,-0.14155,-0.68515,-0.022307,0.13115,-0.68023,-0.043536
43,0.002939,0.37953,-0.089302,-0.11253,0.19718,-0.044984,-0.19088,0.41399,-0.13158,0.12942,0.18739,-0.057859,0.23636,0.40398,-0.12716,-0.22829,0.62435,-0.23659,0.27645,0.6335,-0.20872,-0.062365,-0.25072,0.1548,0.076369,-0.2515,0.1545,-0.16218,-0.37898,-0.11813,0.14355,-0.37687,-0.12749,-0.14147,-0.68931,-0.022974,0.12993,-0.68399,-0.044661
44,0.002569,0.33915,-0.088698,-0.11218,0.16154,-0.045893,-0.19235,0.3749,-0.13552,0.12893,0.14974,-0.05925,0.23815,0.36341,-0.13017,-0.23019,0.58402,-0.24345,0.27939,0.59174,-0.2159,-0.061918,-0.2841,0.15722,0.076875,-0.28578,0.15661,-0.16363,-0.38606,-0.12535,0.14538,-0.38486,-0.13445,-0.14029,-0.69267,-0.023414,0.1291,-0.6872,-0.045369
45,0.002513,0.30056,-0.088469,-0.11195,0.1269,-0.046719,-0.1939,0.33786,-0.13969,0.12848,0.11391,-0.0603,0.24011,0.3261,-0.13315,-0.23252,0.54073,-0.24884,0.28255,0.55182,-0.22299,-0.061307,-0.31658,0.15826,0.077584,-0.31904,0.15829,-0.16463,-0.39386,-0.13201,0.14704,-0.39322,-0.14046,-0.1392,-0.69595,-0.023659,0.12831,-0.69051,-0.045622
46,0.002513,0.26169,-0.088031,-0.11183,0.088256,-0.04749,-0.19566,0.29801,-0.14345,0.12761,0.077858,-0.061504,0.24176,0.28787,-0.13611,-0.23482,0.4974,-0.25422,0.28437,0.51492,-0.22835,-0.061344,-0.35104,0.15951,0.078593,-0.35259,0.15968,-0.16463,-0.40109,-0.13603,0.14886,-0.40115,-0.1442,-0.13816,-0.69976,-0.023846,0.12764,-0.69359,-0.045737
47,0.002513,0.22826,-0.087585,-0.11283,0.057183,-0.048364,-0.19734,0.26606,-0.14616,0.1269,0.048989,-0.062314,0.24338,0.25754,-0.13903,-0.23712,0.45963,-0.25832,0.28569,0.48436,-0.23398,-0.060866,-0.3791,0.16067,0.079524,-0.38128,0.16137,-0.16464,-0.40658,-0.13786,0.15077,-0.40602,-0.14477,-0.13729,-0.70322,-0.023917,0.12715,-0.69597,-0.045736
48,0.002691,0.19723,-0.087101,-0.11371,0.031588,-0.048777,-0.19874,0.23879,-0.14869,0.12678,0.0231,-0.062314,0.24456,0.23141,-0.14126,-0.23906,0.42755,-0.2616,0.28664,0.45203,-0.23922,-0.060535,-0.40511,0.16189,0.080401,-0.40854,0.16237,-0.16464,-0.41206,-0.1385,0.15249,-0.41058,-0.14477,-0.13649,-0.70486,-0.023918,0.12674,-0.69825,-0.045736
49,0.003163,0.17017,-0.086493,-0.11461,0.006831,-0.048978,-0.20031,0.21047,-0.15069,0.12665,0.000861,-0.062283,0.24582,0.2066,-0.143,-0.24092,0.39777,-0.26376,0.28734,0.42209,-0.24435,-0.060145,-0.42931,0.16292,0.081268,-0.433,0.16404,-0.16459,-0.41767,-0.1385,0.15387,-0.41497,-0.14477,-0.13563,-0.70777,-0.023856,0.12628,-0.70011,-0.045736
50,0.004016,0.14356,-0.085979,-0.11551,-0.023553,-0.048978,-0.2019,0.18121,-0.15151,0.12642,-0.021908,-0.062283,0.24722,0.179,-0.14398,-0.2433,0.37453,-0.26554,0.28822,0.39334,-0.24877,-0.059694,-0.45535,0.16482,0.082087,-0.45703,0.16577,-0.16407,-0.42337,-0.13866,0.1551,-0.41958,-0.14477,-0.13457,-0.71044,-0.023709,0.12576,-0.70188,-0.045616
51,0.005069,0.12379,-0.085563,-0.11599,-0.050193,-0.048978,-0.20351,0.15391,-0.15151,0.12652,-0.042356,-0.062175,0.24763,0.15821,-0.14422,-0.24721,0.35014,-0.2666,0.28866,0.3711,-0.25192,-0.059241,-0.47747,0.16561,0.082936,-0.47851,0.16636,-0.16306,-0.42956,-0.13888,0.15659,-0.42436,-0.14492,-0.13318,-0.71291,-0.02302,0.12515,-0.70344,-0.045327
