FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
44,0.02643,0.63393,-0.25367,-0.13304,0.44369,-0.10938,-0.16129,0.24118,-0.017877,0.17038,0.43276,-0.1145,0.20329,0.22988,-0.028664,-0.17757,0.015165,-0.023243,0.20571,0.012273,-0.044923,-0.060344,-0.001676,0.024149,0.079947,-0.005361,0.020985,-0.10856,-0.31785,0.001889,0.12049,-0.31862,0.011743,-0.10561,-0.64881,0.016682,0.12399,-0.63456,0.010877
45,0.026442,0.60198,-0.27827,-0.1332,0.43206,-0.11904,-0.16129,0.23594,-0.017877,0.17141,0.42028,-0.12998,0.20328,0.22446,-0.029706,-0.17757,0.010099,-0.023243,0.20474,0.00426,-0.044906,-0.060011,0.000905,0.044171,0.08221,-0.002468,0.040824,-0.10825,-0.3174,0.007047,0.12089,-0.31813,0.016224,-0.1056,-0.64872,0.017167,0.12414,-0.63489,0.010968
46,0.026497,0.56783,-0.29613,-0.13331,0.41682,-0.12589,-0.16129,0.22818,-0.017877,0.17239,0.40402,-0.14059,0.20327,0.21682,-0.029925,-0.17757,0.002532,-0.022991,0.20369,-0.004357,-0.044091,-0.058779,0.003666,0.065718,0.084551,0.000482,0.06249,-0.10791,-0.317,0.012899,0.12135,-0.3178,0.020402,-0.10565,-0.6483,0.017652,0.12433,-0.63519,0.011042
47,0.026525,0.52999,-0.31017,-0.13334,0.40057,-0.12789,-0.16129,0.21851,-0.017877,0.17317,0.38795,-0.14937,0.20327,0.20745,-0.029925,-0.17752,-0.005963,-0.019856,0.20351,-0.013301,-0.040744,-0.057612,0.00858,0.091131,0.087026,0.003487,0.0851,-0.10752,-0.31618,0.020503,0.12183,-0.31751,0.0255,-0.10575,-0.64774,0.018525,0.12455,-0.63558,0.011204
48,0.027643,0.48275,-0.32211,-0.13355,0.37216,-0.12902,-0.16129,0.20269,-0.016361,0.17373,0.36071,-0.15699,0.20308,0.19016,-0.029922,-0.17776,-0.019555,-0.011133,0.20318,-0.030209,-0.034733,-0.057262,0.01622,0.11923,0.089959,0.013336,0.11678,-0.10706,-0.31273,0.030606,0.12252,-0.31128,0.035434,-0.10592,-0.64516,0.020449,0.1248,-0.63595,0.011653
49,0.029085,0.43462,-0.32213,-0.1338,0.34449,-0.12901,-0.16199,0.18182,-0.012078,0.17234,0.33136,-0.15697,0.20239,0.1732,-0.02991,-0.17856,-0.039408,0.001117,0.20256,-0.047066,-0.028269,-0.056378,0.029586,0.15179,0.093984,0.024734,0.14796,-0.10628,-0.30194,0.042968,0.12313,-0.303,0.044794,-0.10621,-0.64319,0.022326,0.12515,-0.63635,0.012346
50,0.030817,0.38671,-0.32216,-0.13462,0.31543,-0.129,-0.16302,0.15795,-0.006428,0.17028,0.30295,-0.15693,0.20157,0.15587,-0.027972,-0.17975,-0.062227,0.015543,0.20163,-0.064056,-0.020215,-0.056798,0.04323,0.18368,0.094489,0.03701,0.17824,-0.10534,-0.29101,0.054999,0.12328,-0.29401,0.053778,-0.10657,-0.6415,0.024292,0.12552,-0.63661,0.013192
51,0.032525,0.34076,-0.32219,-0.1358,0.28699,-0.12898,-0.16408,0.13408,-5.9e-05,0.17176,0.2756,-0.15696,0.20062,0.13795,-0.024834,-0.18079,-0.084767,0.030181,0.20027,-0.081497,-0.012192,-0.056564,0.05769,0.21483,0.094978,0.049665,0.2076,-0.10436,-0.27965,0.066968,0.12344,-0.28379,0.06304,-0.10705,-0.64008,0.026223,0.12593,-0.63692,0.014148
52,0.031433,0.29073,-0.30552,-0.13701,0.25281,-0.1096,-0.1648,0.10429,0.008286,0.17001,0.23817,-0.14141,0.19728,0.10233,-0.017509,-0.18238,-0.1075,0.045325,0.1969,-0.11348,-0.002464,-0.055535,0.072917,0.24883,0.099623,0.064504,0.24026,-0.10314,-0.26447,0.083941,0.12428,-0.27189,0.076965,-0.10772,-0.63862,0.028025,0.1264,-0.63757,0.015189
53,0.02974,0.24387,-0.28531,-0.1381,0.21546,-0.088979,-0.16482,0.070333,0.020468,0.16823,0.20163,-0.12429,0.19147,0.060813,-0.00976,-0.1837,-0.13479,0.062,0.19138,-0.15345,0.007368,-0.056222,0.072533,0.28616,0.10024,0.064115,0.27729,-0.10304,-0.26464,0.089715,0.12493,-0.27289,0.081848,-0.10842,-0.63735,0.029785,0.12662,-0.6384,0.016266
54,0.02804,0.21385,-0.27698,-0.13991,0.18183,-0.067421,-0.165,0.03833,0.033436,0.16699,0.16418,-0.10524,0.18596,0.022189,-0.001537,-0.18351,-0.16046,0.073538,0.186,-0.19196,0.016204,-0.055445,0.078256,0.29829,0.10446,0.065069,0.28526,-0.10252,-0.25754,0.094448,0.1253,-0.25938,0.086083,-0.10909,-0.63468,0.031496,0.12688,-0.6384,0.017417
55,0.024525,0.18655,-0.26697,-0.1417,0.1513,-0.044449,-0.1655,0.007221,0.046617,0.16611,0.12986,-0.083337,0.18078,-0.014765,0.007155,-0.18334,-0.18749,0.083482,0.18062,-0.22954,0.024174,-0.050057,0.07828,0.30837,0.11108,0.065069,0.29022,-0.10247,-0.25074,0.097626,0.12554,-0.24498,0.090166,-0.10951,-0.63216,0.033205,0.12702,-0.63828,0.018574
56,0.023697,0.16037,-0.25681,-0.14362,0.12153,-0.020082,-0.16645,-0.023159,0.060255,0.16601,0.095727,-0.060375,0.17536,-0.050374,0.016057,-0.18322,-0.21499,0.090638,0.17504,-0.26391,0.029759,-0.042664,0.091636,0.31521,0.11963,0.079883,0.29739,-0.10111,-0.23375,0.10372,0.126,-0.23015,0.093544,-0.1096,-0.63062,0.034429,0.12742,-0.63798,0.019751
57,0.023826,0.14543,-0.24541,-0.14524,0.10415,0.001035,-0.16715,-0.047873,0.067604,0.16673,0.073344,-0.03601,0.16989,-0.078318,0.022036,-0.18111,-0.23831,0.093054,0.16945,-0.29029,0.033255,-0.034347,0.10661,0.31878,0.13012,0.093717,0.30139,-0.098645,-0.21905,0.10827,0.12604,-0.21534,0.093615,-0.10959,-0.62982,0.034704,0.12748,-0.62979,0.021312
58,0.024644,0.13499,-0.23675,-0.1469,0.087339,0.021632,-0.16888,-0.067539,0.073057,0.16779,0.05437,-0.014232,0.16459,-0.1061,0.028093,-0.17947,-0.25515,0.093027,0.1642,-0.31647,0.036152,-0.025287,0.11973,0.32088,0.14151,0.10664,0.30481,-0.09614,-0.2073,0.11244,0.12693,-0.21048,0.097266,-0.10966,-0.62933,0.034949,0.12757,-0.62997,0.022214
59,0.023467,0.12718,-0.22811,-0.14871,0.071638,0.040452,-0.17078,-0.084622,0.078633,0.16913,0.034305,0.006382,0.15862,-0.1347,0.032821,-0.17671,-0.26866,0.092981,0.16047,-0.3421,0.036214,-0.0159,0.13157,0.32234,0.15263,0.11897,0.30462,-0.093747,-0.19926,0.1164,0.12693,-0.20729,0.09922,-0.10978,-0.62917,0.035139,0.12794,-0.62417,0.023434
60,0.019764,0.12032,-0.21969,-0.15054,0.055055,0.059288,-0.1732,-0.10085,0.08536,0.17091,0.023979,0.006352,0.15591,-0.14876,0.032866,-0.17532,-0.26866,0.092958,0.1562,-0.35446,0.036286,-0.007095,0.12823,0.32219,0.16375,0.1087,0.30137,-0.093774,-0.19926,0.11479,0.12688,-0.20729,0.096523,-0.10985,-0.63022,0.0353,0.12795,-0.62343,0.023721
61,0.015147,0.114,-0.21962,-0.15244,0.04541,0.05988,-0.17486,-0.11242,0.089271,0.17065,0.023979,0.006059,0.15591,-0.14876,0.032866,-0.17122,-0.26866,0.092468,0.1562,-0.35446,0.036286,0.006067,0.11712,0.31727,0.17648,0.096314,0.29399,-0.094883,-0.20388,0.10986,0.12534,-0.20729,0.093785,-0.10995,-0.63153,0.03542,0.12786,-0.62226,0.024216
62,0.009104,0.1093,-0.21909,-0.1525,0.043452,0.059881,-0.17408,-0.11883,0.089258,0.17026,0.023979,0.005516,0.15591,-0.14876,0.032866,-0.16725,-0.26815,0.087224,0.15618,-0.35446,0.035127,0.019946,0.096408,0.31211,0.18966,0.082976,0.2859,-0.096103,-0.21022,0.10465,0.12369,-0.20717,0.090391,-0.11017,-0.63275,0.03555,0.12771,-0.61881,0.024218
63,0.002085,0.1093,-0.21617,-0.15346,0.038209,0.061176,-0.17407,-0.12573,0.089358,0.17006,0.023129,-0.006549,0.15574,-0.14876,0.02301,-0.16345,-0.26011,0.075557,0.15609,-0.35446,0.029514,0.034393,0.088,0.3014,0.20067,0.078847,0.27312,-0.097291,-0.21668,0.099264,0.1227,-0.20935,0.087756,-0.11028,-0.63341,0.035646,0.12757,-0.61625,0.025299
