FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
31,0.032833,0.73149,-0.056109,-0.13583,0.53831,-0.053099,-0.24326,0.76219,-0.10363,0.17735,0.53023,-0.047505,0.27305,0.77233,-0.081755,-0.28876,0.96385,-0.15786,0.30181,0.97503,-0.12416,-0.064847,0.034995,-0.058212,0.078986,0.034667,-0.058283,-0.11527,-0.31014,-0.038766,0.11891,-0.31065,-0.025533,-0.11976,-0.62294,-0.008536,0.13602,-0.64733,-0.011825
32,0.032912,0.73208,-0.056609,-0.13542,0.53928,-0.052481,-0.24035,0.76707,-0.099539,0.17731,0.53058,-0.046883,0.27016,0.77354,-0.077397,-0.284,0.96913,-0.1494,0.29815,0.97899,-0.11627,-0.064392,0.036345,-0.058193,0.079458,0.036091,-0.058262,-0.11475,-0.30901,-0.039145,0.119,-0.30995,-0.025696,-0.11969,-0.62258,-0.008609,0.13612,-0.64733,-0.011839
33,0.032927,0.7327,-0.056956,-0.13489,0.54092,-0.051349,-0.23776,0.77026,-0.09546,0.17728,0.53087,-0.046365,0.2678,0.77458,-0.07373,-0.27954,0.97376,-0.14182,0.29531,0.98203,-0.11002,-0.063951,0.037694,-0.058081,0.079927,0.037527,-0.058046,-0.11415,-0.30788,-0.039487,0.11909,-0.30915,-0.025826,-0.11959,-0.62222,-0.008673,0.13625,-0.64733,-0.011861
34,0.032935,0.73327,-0.057132,-0.1344,0.54253,-0.050266,-0.23544,0.77285,-0.091744,0.17723,0.53108,-0.045875,0.26576,0.7756,-0.070516,-0.2757,0.97806,-0.1354,0.29294,0.98462,-0.10466,-0.063542,0.038929,-0.05779,0.080379,0.038851,-0.05783,-0.11357,-0.30672,-0.039793,0.11917,-0.30868,-0.025824,-0.11947,-0.62179,-0.00869,0.13635,-0.64733,-0.011876
35,0.032935,0.73363,-0.057132,-0.13394,0.54422,-0.049173,-0.23372,0.7748,-0.088706,0.17722,0.53121,-0.045455,0.26473,0.7756,-0.068501,-0.27315,0.98045,-0.13164,0.29184,0.98646,-0.10178,-0.06313,0.040172,-0.057291,0.080808,0.040146,-0.057586,-0.11306,-0.30587,-0.039942,0.11924,-0.30822,-0.025821,-0.11934,-0.62142,-0.008723,0.13644,-0.64737,-0.011896
36,0.032877,0.73403,-0.057135,-0.13352,0.54602,-0.048001,-0.23237,0.77646,-0.086281,0.17721,0.53121,-0.045098,0.26398,0.77584,-0.066967,-0.27089,0.98241,-0.12844,0.29105,0.98803,-0.099624,-0.062798,0.041298,-0.056663,0.081157,0.041294,-0.057278,-0.1126,-0.3052,-0.03999,0.1193,-0.30778,-0.025869,-0.11922,-0.62107,-0.008764,0.13653,-0.64745,-0.011909
37,0.032642,0.73455,-0.057145,-0.13322,0.54786,-0.04693,-0.23142,0.77773,-0.08421,0.1772,0.53121,-0.044842,0.26355,0.77646,-0.066356,-0.26929,0.98361,-0.12615,0.29084,0.98827,-0.099356,-0.062675,0.042102,-0.055822,0.081301,0.042082,-0.056888,-0.11224,-0.30489,-0.040166,0.11949,-0.30768,-0.026018,-0.11911,-0.62107,-0.008811,0.13659,-0.64764,-0.011919
38,0.032115,0.73502,-0.056958,-0.13289,0.54965,-0.045907,-0.23066,0.77917,-0.082871,0.17719,0.53136,-0.044667,0.26318,0.77614,-0.066371,-0.26779,0.98462,-0.12499,0.29069,0.98827,-0.099363,-0.062679,0.042811,-0.054812,0.08136,0.042781,-0.056396,-0.11193,-0.30489,-0.040334,0.11958,-0.30768,-0.026175,-0.11899,-0.62107,-0.008855,0.13659,-0.64777,-0.011962
39,0.031412,0.73556,-0.05668,-0.13259,0.55165,-0.044866,-0.23007,0.78052,-0.082321,0.17716,0.53148,-0.044556,0.26285,0.77578,-0.066386,-0.26642,0.9852,-0.12493,0.29058,0.98827,-0.099368,-0.062721,0.043508,-0.053631,0.081397,0.04345,-0.055863,-0.11163,-0.30489,-0.040501,0.1197,-0.30768,-0.026317,-0.11891,-0.62107,-0.008889,0.13659,-0.64791,-0.012038
40,0.030522,0.73599,-0.056403,-0.13234,0.55463,-0.043494,-0.22957,0.78173,-0.082299,0.1766,0.53206,-0.0445,0.26248,0.77511,-0.066402,-0.26512,0.98597,-0.12487,0.29049,0.98827,-0.099372,-0.062781,0.044415,-0.052229,0.081366,0.044346,-0.055139,-0.11137,-0.30489,-0.040657,0.11976,-0.30768,-0.026372,-0.11865,-0.62172,-0.009204,0.13661,-0.64815,-0.012295
