FrameNo, head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
37,0.003818,0.60093,-0.061283,-0.13841,0.36538,-0.008302,-0.36856,0.3494,0.023487,0.16431,0.36593,-0.025541,0.39709,0.38989,-0.016018,-0.56938,0.34473,-0.019707,0.61478,0.41362,-0.062095,-0.054572,-0.1023,0.066284,0.080316,-0.10219,0.064516,-0.12125,-0.3718,-0.081472,0.12571,-0.37685,-0.087636,-0.10423,-0.68271,-0.01479,0.12907,-0.68981,-0.030166
38,0.003707,0.57543,-0.061028,-0.13861,0.34118,-0.008004,-0.36998,0.32736,0.022743,0.16396,0.34069,-0.025727,0.39765,0.36809,-0.019013,-0.57027,0.32543,-0.021369,0.61436,0.39341,-0.066014,-0.054097,-0.1239,0.07819,0.081404,-0.12378,0.076647,-0.12308,-0.37822,-0.090303,0.12684,-0.38078,-0.09736,-0.10441,-0.68583,-0.017456,0.12864,-0.69255,-0.033549
39,0.003589,0.5482,-0.06102,-0.13903,0.31413,-0.00778,-0.37143,0.30352,0.021782,0.16349,0.31364,-0.025796,0.39891,0.34493,-0.022136,-0.57135,0.30445,-0.023162,0.61433,0.37107,-0.070109,-0.05353,-0.14763,0.089836,0.082433,-0.14725,0.088451,-0.12457,-0.38413,-0.098638,0.12769,-0.38556,-0.1068,-0.10457,-0.6894,-0.019754,0.12796,-0.69535,-0.036225
40,0.003364,0.51922,-0.061005,-0.13965,0.28625,-0.007462,-0.37224,0.27803,0.020629,0.16312,0.28607,-0.026021,0.39999,0.31986,-0.025264,-0.57284,0.28076,-0.025153,0.6146,0.34726,-0.074412,-0.05319,-0.17238,0.10085,0.083284,-0.17158,0.099627,-0.1259,-0.39016,-0.10723,0.12835,-0.39084,-0.11605,-0.10454,-0.69328,-0.021556,0.12696,-0.69857,-0.038765
41,0.003141,0.48845,-0.060947,-0.14037,0.25771,-0.007374,-0.37333,0.25131,0.019875,0.16249,0.25665,-0.026337,0.40077,0.29236,-0.028439,-0.57229,0.25612,-0.02651,0.61447,0.32195,-0.078725,-0.052876,-0.1989,0.11165,0.084082,-0.19766,0.11038,-0.12697,-0.39646,-0.11552,0.12866,-0.39619,-0.12511,-0.10436,-0.69703,-0.023073,0.12587,-0.70134,-0.041077
42,0.002862,0.46001,-0.061218,-0.14122,0.23015,-0.007371,-0.37379,0.22499,0.018678,0.16181,0.22967,-0.027106,0.401,0.26697,-0.031978,-0.5738,0.23141,-0.028271,0.61374,0.29646,-0.082871,-0.052692,-0.22374,0.12077,0.084709,-0.22269,0.11966,-0.12769,-0.40255,-0.12255,0.12813,-0.40135,-0.13292,-0.10401,-0.70097,-0.024343,0.12466,-0.70392,-0.042767
43,0.002636,0.43031,-0.061407,-0.14215,0.2012,-0.007254,-0.37496,0.19756,0.017816,0.1612,0.2009,-0.02788,0.40079,0.23915,-0.035195,-0.5756,0.20549,-0.030075,0.61289,0.26988,-0.087033,-0.052511,-0.24961,0.12981,0.085306,-0.24839,0.1285,-0.12818,-0.40838,-0.12883,0.12763,-0.40668,-0.14037,-0.10381,-0.705,-0.024948,0.12337,-0.70664,-0.043906
44,0.002163,0.4026,-0.061557,-0.14299,0.17493,-0.007227,-0.37575,0.17075,0.016969,0.16054,0.17467,-0.028451,0.4006,0.21377,-0.037943,-0.57723,0.1811,-0.030888,0.61204,0.245,-0.090737,-0.052857,-0.27255,0.13228,0.085272,-0.27139,0.1313,-0.12854,-0.41359,-0.13405,0.12727,-0.41166,-0.14564,-0.10352,-0.70895,-0.025237,0.12188,-0.70935,-0.044047
45,0.001669,0.36831,-0.061778,-0.144,0.14325,-0.007159,-0.37643,0.13941,0.016036,0.1597,0.14218,-0.029287,0.39977,0.18271,-0.039835,-0.57801,0.15047,-0.03176,0.61114,0.21321,-0.093729,-0.053902,-0.3018,0.13314,0.084734,-0.30053,0.13226,-0.12892,-0.41987,-0.1367,0.12699,-0.41748,-0.149,-0.10323,-0.71306,-0.025493,0.12052,-0.71239,-0.044425
46,0.000985,0.33124,-0.062056,-0.14501,0.10825,-0.007247,-0.37651,0.10477,0.014822,0.1586,0.10692,-0.030159,0.39708,0.14673,-0.041388,-0.57889,0.11615,-0.032484,0.61035,0.17923,-0.096033,-0.055124,-0.33432,0.13488,0.083842,-0.33313,0.13359,-0.12926,-0.42564,-0.13898,0.12672,-0.42383,-0.15208,-0.10294,-0.71725,-0.025758,0.11949,-0.71506,-0.044434
