FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.4022413462400436,914,319,0.52457195520401,919,329,0.4596400260925293,909,334,0.48180803656578064,967,369,0.31904804706573486,947,371,0.3161693811416626,955,390,0.3496930003166199,940,392,0.31802552938461304,962,391,0.35863128304481506,956,396,0.3600013554096222,957,411,0.2873584032058716,949,409,0.3113694190979004,971,422,0.153229758143425,964,422,0.17803528904914856
1,0.4055276125669479,921,316,0.4950130879878998,929,327,0.4333687424659729,902,333,0.5139538049697876,963,361,0.257340669631958,893,350,0.37611597776412964,962,387,0.3521135151386261,933,390,0.29137006402015686,973,392,0.3603249788284302,954,396,0.3497365713119507,968,411,0.3141612112522125,949,410,0.33314093947410583,977,423,0.1649785041809082,960,424,0.19366709887981415
2,0.4146662920713424,926,316,0.4923858344554901,927,328,0.45897936820983887,909,334,0.5187555551528931,958,362,0.2543247938156128,901,355,0.37140870094299316,959,389,0.3523780107498169,936,392,0.3118165135383606,969,392,0.37378400564193726,955,396,0.3576904535293579,963,410,0.3204224705696106,951,408,0.3350771367549896,972,423,0.1583234965801239,964,425,0.19573016464710236
3,0.4266411811113357,921,318,0.559224545955658,924,329,0.4896819293498993,904,335,0.559395968914032,954,362,0.2608599364757538,910,358,0.22499878704547882,953,387,0.35137075185775757,929,390,0.29788967967033386,970,402,0.3550989329814911,954,405,0.3816508948802948,958,409,0.2997387647628784,946,407,0.32362574338912964,970,423,0.15898920595645905,959,425,0.18948040902614594
4,0.39796721041202543,913,320,0.5581377148628235,911,331,0.512849748134613,913,334,0.4843783974647522,922,359,0.23376139998435974,953,370,0.34415653347969055,937,389,0.32331740856170654,936,390,0.30947577953338623,939,393,0.28453922271728516,959,398,0.34848782420158386,946,409,0.30630961060523987,953,410,0.3014577031135559,957,424,0.13464662432670593,966,423,0.16950955986976624
5,0.38302047550678253,912,322,0.5346920490264893,898,333,0.5351919531822205,939,337,0.35125628113746643,891,358,0.2961544096469879,964,374,0.38869214057922363,930,396,0.2770528495311737,949,396,0.2953788638114929,935,406,0.29910144209861755,968,410,0.3733058273792267,937,413,0.2753129005432129,960,414,0.2817854881286621,954,426,0.14619912207126617,975,424,0.15153445303440094
6,0.33161215782165526,912,324,0.5033083558082581,898,333,0.4758761525154114,941,336,0.277103453874588,891,357,0.25700217485427856,968,376,0.37058234214782715,933,400,0.23827311396598816,959,400,0.27707165479660034,936,409,0.2647869288921356,971,416,0.31807002425193787,945,425,0.20528945326805115,961,417,0.23617736995220184,957,428,0.13350887596607208,983,437,0.10318585485219955
7,0.27893600463867185,915,323,0.49501141905784607,900,334,0.4845256209373474,933,337,0.3092276155948639,933,378,0.3068937659263611,979,389,0.3214763104915619,944,404,0.2324119508266449,1050,528,0.09534595906734467,967,536,0.12174611538648605,1013,523,0.13487480580806732,950,619,0.24972960352897644,985,604,0.20993156731128693,952,713,0.29920387268066406,959,712,0.26753029227256775
8,0.2711430639028549,921,326,0.48064640164375305,902,337,0.4815964102745056,992,363,0.19156350195407867,937,394,0.2677391767501831,982,379,0.3811216652393341,969,526,0.09341174364089966,1051,532,0.12033714354038239,961,536,0.15441365540027618,1014,525,0.17687737941741943,946,624,0.27105578780174255,978,619,0.26805198192596436,945,716,0.36691510677337646,959,715,0.30478838086128235
9,0.27536349296569823,921,326,0.4926453232765198,900,338,0.4892529547214508,995,364,0.2111046016216278,930,393,0.255099892616272,989,390,0.32844382524490356,936,404,0.23287957906723022,974,402,0.2564406394958496,940,533,0.12304632365703583,1012,521,0.1783018857240677,943,625,0.26483333110809326,975,621,0.26521047949790955,942,717,0.3655945658683777,961,717,0.30938321352005005
10,0.2873229295015335,926,328,0.5004754066467285,904,340,0.47351178526878357,996,368,0.2456623762845993,932,392,0.2730652987957001,987,390,0.3666535019874573,939,403,0.26991215348243713,972,402,0.3060569763183594,939,512,0.14081862568855286,1008,517,0.17697560787200928,944,624,0.2840549349784851,974,621,0.2933584451675415,942,717,0.39990633726119995,963,717,0.3474498391151428
11,0.2798756644129753,919,327,0.5140269994735718,900,339,0.49573373794555664,993,362,0.20136700570583344,928,391,0.28001776337623596,984,388,0.3572659194469452,932,403,0.27504515647888184,967,402,0.30350589752197266,939,508,0.12791946530342102,1010,513,0.17269618809223175,943,624,0.27202194929122925,973,620,0.2811349630355835,944,718,0.37788712978363037,964,718,0.3167729377746582
12,0.3202285349369049,924,323,0.5024991035461426,901,336,0.5185006856918335,985,344,0.20255491137504578,883,353,0.23267106711864471,979,371,0.3388623297214508,923,394,0.23305311799049377,955,393,0.2310146987438202,932,408,0.26293250918388367,975,404,0.2950015366077423,932,416,0.23155611753463745,973,419,0.27248889207839966,946,425,0.1310487538576126,976,424,0.12303832173347473
13,0.3164447098970413,932,327,0.5081738233566284,909,340,0.5119736194610596,990,349,0.22389040887355804,884,348,0.3620138168334961,980,374,0.31169140338897705,889,355,0.4265064299106598,949,382,0.24303701519966125,938,419,0.23264548182487488,980,422,0.2802724540233612,949,448,0.12722988426685333,983,448,0.1603793501853943,931,414,0.13986842334270477,973,424,0.10262306034564972
14,0.2860151320695877,927,332,0.47949719429016113,906,341,0.4809739291667938,988,350,0.190915048122406,887,348,0.40871915221214294,982,378,0.31964921951293945,928,387,0.23016522824764252,959,384,0.22339317202568054,935,423,0.19503487646579742,979,426,0.25110819935798645,947,453,0.09873920679092407,981,453,0.13698647916316986,931,416,0.12537911534309387,954,413,0.12813840806484222
15,0.2285966470837593,928,334,0.43116673827171326,950,391,0.28904619812965393,1007,372,0.2636115252971649,941,398,0.2509802579879761,993,393,0.25984933972358704,935,403,0.24126514792442322,968,399,0.21236923336982727,965,536,0.13639239966869354,1015,537,0.1218639612197876,945,620,0.2570369839668274,960,617,0.2544698417186737,949,712,0.2486785650253296,958,710,0.2142663151025772
16,0.25056959241628646,928,331,0.4629482626914978,948,389,0.27182453870773315,1073,354,0.3206292986869812,937,398,0.2590857744216919,985,377,0.30196577310562134,928,401,0.22395402193069458,963,397,0.20930859446525574,962,539,0.16042909026145935,1017,541,0.14414089918136597,946,632,0.2790512442588806,967,625,0.277158260345459,952,719,0.3009069561958313,964,718,0.2703021764755249
17,0.3078227698802948,929,331,0.49188342690467834,904,343,0.5050755739212036,1068,358,0.31323063373565674,927,393,0.2692333161830902,1039,391,0.20693807303905487,923,398,0.2357780784368515,970,394,0.24342793226242065,950,538,0.18400560319423676,1018,541,0.176904559135437,947,636,0.32103729248046875,978,630,0.2933960556983948,952,724,0.32255861163139343,970,726,0.2885870337486267
18,0.3123253136873245,920,328,0.5444920659065247,899,341,0.5074883103370667,997,366,0.2614072561264038,881,349,0.4853260815143585,989,383,0.3412419855594635,879,355,0.4604074954986572,962,393,0.2984139621257782,952,535,0.17161399126052856,1014,541,0.1777888387441635,947,638,0.34567388892173767,974,629,0.24606475234031677,949,727,0.3637489676475525,973,729,0.29459041357040405
