FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.5008219718933105,1059,348,0.6942625641822815,1118,393,0.5298659801483154,986,392,0.5544708967208862,1153,442,0.332034170627594,961,448,0.34901657700538635,1146,397,0.4094034433364868,954,497,0.3397490382194519,1103,521,0.4220713675022125,1017,523,0.561577558517456,1124,602,0.4496545195579529,1040,606,0.4053731858730316,1099,691,0.36158108711242676,1032,696,0.45277318358421326
1,0.4867449015378952,1059,345,0.6911333799362183,1116,390,0.5150935649871826,992,390,0.511022686958313,1163,439,0.44885584712028503,967,441,0.3601055145263672,1150,399,0.41486257314682007,952,494,0.355852335691452,1103,516,0.406830370426178,1018,519,0.565526008605957,1124,600,0.43140479922294617,1033,605,0.3433030843734741,1099,692,0.34880414605140686,1032,696,0.47667089104652405
2,0.5017689347267151,1059,345,0.6920595765113831,1116,390,0.5240616798400879,994,393,0.5589199066162109,1165,439,0.4535439908504486,961,449,0.2938167154788971,1154,406,0.288955420255661,948,497,0.34612005949020386,1102,519,0.42162656784057617,1017,521,0.5956162810325623,1119,602,0.3394409120082855,1039,608,0.4150087535381317,1100,694,0.3638423681259155,1038,694,0.45631271600723267
3,0.5177046537399291,1058,345,0.6925843358039856,1114,390,0.49585288763046265,992,393,0.5582656860351562,1165,438,0.44296514987945557,959,448,0.28924843668937683,1156,405,0.2975555956363678,939,493,0.3537243604660034,1117,521,0.5259957313537598,1016,521,0.5963720083236694,1117,604,0.35320019721984863,1041,612,0.4496479034423828,1099,696,0.3679890036582947,1037,695,0.47107887268066406
4,0.5246347099542618,1062,346,0.6925567984580994,1117,391,0.5240625739097595,992,393,0.5588460564613342,1165,438,0.4496179521083832,960,448,0.29951488971710205,1155,406,0.296241819858551,947,494,0.35709014534950256,1118,521,0.5261124968528748,1016,521,0.604213297367096,1118,602,0.35386136174201965,1031,610,0.36392641067504883,1099,694,0.3592301309108734,1038,695,0.47176703810691833
5,0.5256182491779328,1062,346,0.6928200721740723,1118,391,0.5227423310279846,991,391,0.5392429232597351,1165,438,0.4471905827522278,965,444,0.3170609772205353,1156,407,0.3001858592033386,960,496,0.3663759231567383,1116,520,0.5377395749092102,1014,519,0.6084327697753906,1114,602,0.3396998345851898,1038,609,0.4565972685813904,1098,694,0.36899858713150024,1037,695,0.4653868079185486
6,0.5283594042062759,1062,346,0.6929752826690674,1117,392,0.5240813493728638,992,393,0.5556727051734924,1164,439,0.45245158672332764,962,448,0.3050691783428192,1155,405,0.2899979054927826,962,496,0.35019534826278687,1116,520,0.539350152015686,1015,520,0.6076398491859436,1116,602,0.3452001214027405,1039,610,0.45150554180145264,1098,693,0.35457098484039307,1037,695,0.4642193913459778
7,0.5272824436426162,1062,347,0.6925309300422668,1117,393,0.5267139673233032,991,393,0.5575902462005615,1164,440,0.4517374634742737,962,448,0.3031498193740845,1155,406,0.2933197319507599,962,495,0.34827202558517456,1116,520,0.5342302322387695,1015,520,0.6031327843666077,1116,601,0.3418092727661133,1040,609,0.44750845432281494,1097,692,0.3524690568447113,1038,694,0.45363861322402954
8,0.5249558448791504,1063,346,0.692014753818512,1119,393,0.5269079804420471,992,392,0.554592490196228,1164,440,0.45294058322906494,966,444,0.31533464789390564,1155,405,0.2886342406272888,961,494,0.3443901836872101,1116,520,0.5313908457756042,1015,520,0.5970125198364258,1115,601,0.33727899193763733,1040,609,0.4432062804698944,1098,693,0.35480955243110657,1038,694,0.4492534399032593
9,0.5263161480426788,1064,346,0.6914497017860413,1119,393,0.5250537395477295,992,393,0.5563262104988098,1164,440,0.4514201879501343,966,445,0.3154091238975525,1155,405,0.28905433416366577,962,494,0.34626060724258423,1116,520,0.5327770113945007,1015,520,0.6020940542221069,1115,601,0.3393857777118683,1039,609,0.4461953043937683,1098,693,0.351705938577652,1037,694,0.4562318027019501
10,0.5245090872049332,1064,346,0.6907466053962708,1119,393,0.5265929102897644,993,392,0.5532916188240051,1164,440,0.4518950879573822,966,444,0.31350433826446533,1154,405,0.2896745204925537,961,494,0.34672319889068604,1117,520,0.5280698537826538,1015,519,0.5998180508613586,1116,601,0.3401605486869812,1040,609,0.44214165210723877,1098,692,0.34920769929885864,1038,694,0.45471224188804626
11,0.5271513849496842,1064,347,0.6915379762649536,1119,393,0.5276013612747192,993,393,0.5599653720855713,1164,440,0.45427989959716797,966,444,0.31220778822898865,1154,404,0.2940855622291565,961,494,0.3487810790538788,1116,520,0.5326781868934631,1015,520,0.598964512348175,1116,601,0.3397314250469208,1039,609,0.4455699622631073,1098,693,0.3493087589740753,1037,694,0.45562708377838135
12,0.5296533703804016,1057,348,0.6793767213821411,1118,393,0.5287681818008423,987,393,0.5746763348579407,1164,442,0.4672715365886688,964,453,0.2807975709438324,1150,391,0.3841174244880676,957,502,0.3459237515926361,1114,525,0.5471429824829102,1009,527,0.5935490131378174,1125,601,0.3322008550167084,1035,607,0.41431209444999695,1126,704,0.19891709089279175,1035,697,0.4792090058326721
13,0.5204814255237579,1057,348,0.6723052859306335,1121,394,0.5292443037033081,987,392,0.5559688806533813,1164,443,0.45201927423477173,962,449,0.2711988687515259,1150,394,0.4117405116558075,956,500,0.33868250250816345,1115,524,0.5346083045005798,1010,525,0.5707464218139648,1122,599,0.3032068610191345,1034,604,0.3963638246059418,1105,697,0.3702794909477234,1026,694,0.46061477065086365
14,0.5225460529327393,1057,347,0.6747053861618042,1119,392,0.5314947962760925,987,392,0.5443596243858337,1164,443,0.4547801613807678,964,449,0.2817930281162262,1150,397,0.42010200023651123,953,499,0.3219563961029053,1114,523,0.5416152477264404,1009,524,0.58389812707901,1122,600,0.3199419379234314,1033,605,0.41162291169166565,1106,698,0.3692602813243866,1025,695,0.4688228368759155
15,0.5209957152605056,1057,347,0.6759338974952698,1120,392,0.5299174785614014,987,392,0.5432173609733582,1164,442,0.4542382061481476,964,448,0.2837662398815155,1150,397,0.41842120885849,957,499,0.3622983694076538,1114,523,0.5361698865890503,1009,524,0.5791193842887878,1122,599,0.31282415986061096,1032,604,0.40476131439208984,1106,698,0.37063294649124146,1025,695,0.46716073155403137
16,0.5231748968362808,1057,347,0.6755797863006592,1121,392,0.5312386751174927,987,392,0.5452526807785034,1164,443,0.45417046546936035,964,449,0.2830904722213745,1150,397,0.41755789518356323,957,499,0.3655485510826111,1115,523,0.5397171378135681,1009,524,0.5833712220191956,1122,599,0.31366896629333496,1032,605,0.40768659114837646,1106,698,0.369211345911026,1025,695,0.4698663055896759
17,0.5234975129365921,1058,347,0.6769189834594727,1121,392,0.53188556432724,987,392,0.5449950098991394,1164,443,0.45296522974967957,964,449,0.2823033928871155,1150,397,0.4205531179904938,956,499,0.3657705783843994,1115,523,0.5394324660301208,1009,524,0.5842050313949585,1123,599,0.31414180994033813,1033,605,0.4089370369911194,1106,698,0.36880895495414734,1025,695,0.46889641880989075
18,0.5251445323228836,1057,347,0.6846274137496948,1119,392,0.5329446792602539,988,392,0.5482098460197449,1164,443,0.4563191533088684,965,449,0.2862424850463867,1150,397,0.41716116666793823,957,499,0.3624778091907501,1114,523,0.5411130785942078,1009,524,0.585831344127655,1123,600,0.3154368996620178,1033,605,0.41020405292510986,1106,698,0.36294516921043396,1025,695,0.46815225481987
19,0.520838713645935,1055,346,0.6813954710960388,1117,391,0.529455840587616,987,391,0.5374498963356018,1164,443,0.45327234268188477,965,449,0.29280105233192444,1151,398,0.4184764623641968,952,499,0.3390062153339386,1113,522,0.5368751883506775,1009,523,0.5859222412109375,1123,599,0.31585168838500977,1033,605,0.4076426923274994,1106,698,0.3639335334300995,1026,695,0.4734466075897217
20,0.5214951038360596,1053,346,0.6838367581367493,1115,390,0.526761531829834,987,391,0.5396484732627869,1163,444,0.4497736096382141,965,449,0.2957119643688202,1150,399,0.4251193106174469,953,500,0.3444502353668213,1114,522,0.537835955619812,1010,523,0.5893825888633728,1123,598,0.30751919746398926,1033,604,0.40113094449043274,1106,696,0.3606400191783905,1025,694,0.48235011100769043
21,0.5278819173574447,1053,346,0.6831554174423218,1117,391,0.53165203332901,988,392,0.5477204918861389,1163,444,0.4520843029022217,965,450,0.29838794469833374,1150,398,0.4222610294818878,952,501,0.34379664063453674,1114,523,0.5472331643104553,1009,524,0.5985713601112366,1122,599,0.3214372396469116,1033,605,0.4126470685005188,1106,697,0.3611166179180145,1032,695,0.474582701921463
22,0.5228406965732574,1054,346,0.6853508949279785,1117,390,0.5270461440086365,987,391,0.5329664945602417,1163,444,0.4526809751987457,965,449,0.2953258156776428,1150,398,0.42939820885658264,952,500,0.3415365219116211,1114,523,0.5463163256645203,1009,524,0.593478798866272,1122,600,0.3203943371772766,1033,605,0.41082146763801575,1106,697,0.36106058955192566,1025,695,0.4774407148361206
23,0.5277740120887756,1053,345,0.6874227523803711,1116,389,0.5324363112449646,986,391,0.5329973101615906,1162,443,0.44885900616645813,962,449,0.2802112400531769,1150,398,0.42780107259750366,948,500,0.35389307141304016,1113,523,0.5536655187606812,1007,524,0.6053045988082886,1118,600,0.3373827636241913,1032,606,0.42662513256073,1106,699,0.3656369745731354,1030,697,0.48635807633399963
24,0.5464358657598496,1056,344,0.696232795715332,1119,392,0.5533475875854492,985,391,0.5528953671455383,1163,444,0.47683024406433105,963,451,0.2871430516242981,1152,407,0.285845547914505,954,501,0.43745043873786926,1119,525,0.5576187968254089,1010,526,0.6435925364494324,1126,604,0.3795677721500397,1035,610,0.4505847990512848,1113,702,0.3086945712566376,1035,699,0.5425421595573425
25,0.5406234204769135,1058,344,0.6980361938476562,1120,391,0.5483269691467285,986,390,0.5183444023132324,1163,443,0.47134068608283997,962,448,0.28852584958076477,1153,409,0.30281004309654236,953,499,0.39082884788513184,1117,523,0.565563440322876,1009,524,0.6442726254463196,1124,604,0.39238476753234863,1035,611,0.45206108689308167,1111,701,0.31642019748687744,1036,699,0.5396338105201721
26,0.5355019897222519,1061,344,0.7123014330863953,1119,390,0.5429955720901489,987,388,0.49639517068862915,1164,442,0.4606183171272278,963,445,0.2879003882408142,1153,410,0.31170371174812317,956,499,0.3965846300125122,1117,523,0.564518392086029,1009,523,0.6457319259643555,1125,604,0.39756396412849426,1035,610,0.4562493562698364,1111,702,0.32513174414634705,1036,699,0.5427186489105225
27,0.5367997467517853,1059,345,0.7025883793830872,1118,389,0.5412087440490723,986,388,0.5047338008880615,1163,442,0.4675957262516022,963,446,0.29078179597854614,1152,408,0.3001420795917511,955,499,0.4420456886291504,1115,523,0.5718242526054382,1008,524,0.6446117758750916,1123,604,0.3926483392715454,1035,611,0.45847663283348083,1110,703,0.3183634877204895,1035,699,0.5407032370567322
