FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.5199890226125717,1016,343,0.6985727548599243,1072,383,0.5026595592498779,953,390,0.5051593780517578,1118,444,0.3760083019733429,909,440,0.39583802223205566,1087,479,0.4454626441001892,890,463,0.2649083435535431,1050,515,0.5730974078178406,958,512,0.5480554699897766,1046,610,0.5358679294586182,952,614,0.38071075081825256,1059,706,0.43499889969825745,945,719,0.3348434865474701
1,0.5202465355396271,1016,343,0.7054136395454407,1072,383,0.5016218423843384,948,389,0.5104769468307495,1116,445,0.3687036633491516,902,439,0.40455034375190735,1091,473,0.4463198482990265,882,459,0.2938319444656372,1048,515,0.5809202194213867,954,512,0.5209121704101562,1046,608,0.5244221687316895,967,614,0.49337854981422424,1058,705,0.44954970479011536,944,718,0.3795284926891327
2,0.5309574902057648,1016,345,0.7245528697967529,1073,385,0.5172190070152283,946,390,0.5376107096672058,1115,444,0.38790735602378845,903,440,0.4069284498691559,1086,485,0.45612427592277527,882,464,0.31180843710899353,1047,517,0.5836166739463806,953,513,0.5258833169937134,1048,606,0.5246430039405823,967,612,0.5309145450592041,1062,704,0.4616204500198364,944,716,0.3890382945537567
3,0.5434485793113708,1016,346,0.7366446852684021,1074,387,0.5726034641265869,940,390,0.5770887732505798,1113,446,0.37700891494750977,895,442,0.40916916728019714,1108,488,0.5002458095550537,877,468,0.32194989919662476,1041,519,0.5672348141670227,948,514,0.5019761323928833,1048,611,0.5679290294647217,967,614,0.5159393548965454,1058,707,0.45351582765579224,942,718,0.3897809088230133
4,0.5438219606876373,1019,346,0.7293044924736023,1072,386,0.5582290887832642,945,389,0.5341699719429016,1117,440,0.3336769640445709,902,442,0.4235314726829529,1119,494,0.5584049224853516,876,477,0.3967586159706116,1041,516,0.6029368042945862,949,512,0.5217776894569397,1050,612,0.5961182117462158,952,614,0.4558534622192383,1060,708,0.459595263004303,946,718,0.39636656641960144
5,0.5513565599918365,1018,346,0.7230790257453918,1075,388,0.597035825252533,947,391,0.5900436639785767,1116,442,0.39722058176994324,900,443,0.40256303548812866,1115,493,0.44961389899253845,853,478,0.3604893684387207,1034,516,0.5258027911186218,957,515,0.5520556569099426,1044,618,0.5917218327522278,963,620,0.5407386422157288,1058,713,0.47358426451683044,936,716,0.31357547640800476
6,0.5521225094795227,1019,346,0.7282594442367554,1078,389,0.605328381061554,948,391,0.585546612739563,1124,437,0.2858709990978241,895,443,0.39226606488227844,1137,490,0.6077547073364258,852,481,0.38217684626579285,1042,518,0.5615700483322144,950,514,0.4973437786102295,1043,616,0.5926006436347961,964,615,0.5698878169059753,1056,713,0.47056999802589417,939,720,0.40378108620643616
7,0.5461228072643279,1018,345,0.7433478832244873,1076,387,0.5842810869216919,956,391,0.551456093788147,1122,441,0.36046427488327026,904,443,0.3788929283618927,1161,484,0.5662335753440857,848,481,0.5609329342842102,1042,517,0.5524076223373413,952,513,0.5097389221191406,1033,611,0.5346806049346924,962,611,0.5811702609062195,1054,710,0.48245835304260254,938,720,0.42170220613479614
8,0.518817937374115,1016,347,0.734014630317688,1065,384,0.5153970718383789,958,392,0.5501573085784912,1123,432,0.41450947523117065,892,435,0.37344279885292053,1167,462,0.6637372970581055,812,469,0.5830133557319641,1038,505,0.5628893375396729,948,503,0.43861401081085205,1030,604,0.48141658306121826,959,605,0.5575443506240845,1053,710,0.49080121517181396,938,718,0.39226025342941284
9,0.5158915400505066,1015,347,0.7242921590805054,1066,382,0.5006386041641235,964,391,0.47992876172065735,1130,428,0.3251805603504181,893,431,0.36931273341178894,1190,446,0.570256233215332,799,458,0.6295649409294128,1037,507,0.5803989768028259,951,505,0.49587321281433105,1025,607,0.48606619238853455,957,604,0.5759730339050293,1051,712,0.5107855796813965,936,717,0.42671555280685425
10,0.5060722947120666,1014,346,0.7215743660926819,1063,379,0.42656970024108887,955,389,0.5101943016052246,1121,418,0.36470624804496765,876,425,0.34512895345687866,1197,424,0.6318848729133606,796,440,0.6704368591308594,1035,507,0.559888482093811,949,507,0.4890075922012329,1020,608,0.4920811057090759,954,606,0.5927348136901855,1051,713,0.47970619797706604,933,717,0.39123788475990295
11,0.5153129696846008,1010,345,0.7017505764961243,1084,381,0.5453974008560181,953,386,0.5117350220680237,1140,414,0.3794534504413605,865,416,0.3252524435520172,1200,423,0.6893171072006226,772,427,0.6102562546730042,1030,505,0.5177698731422424,947,506,0.4650428593158722,1016,609,0.46302512288093567,950,607,0.6077123880386353,1048,713,0.4685510993003845,933,716,0.4004652500152588
12,0.5410394191741943,1010,346,0.6729116439819336,1089,376,0.5617541670799255,949,386,0.5213517546653748,1150,394,0.39022308588027954,842,409,0.3558265268802643,1223,393,0.6826704144477844,765,410,0.3315080404281616,1028,504,0.5010597109794617,958,506,0.6071759462356567,1019,612,0.5353571176528931,942,607,0.5857760906219482,1044,711,0.48811036348342896,923,716,0.3759177625179291
13,0.5407333612442017,1007,345,0.6526942849159241,1087,380,0.5571673512458801,943,388,0.5556401610374451,1158,387,0.3203194737434387,825,402,0.37802305817604065,1233,370,0.6945551633834839,740,393,0.5494369268417358,1043,517,0.5285627841949463,955,514,0.5385977625846863,1021,616,0.604153573513031,935,617,0.5592069029808044,1027,711,0.407664030790329,925,722,0.36386099457740784
14,0.488509726524353,1007,343,0.6232126355171204,1088,379,0.5548917055130005,937,385,0.47931304574012756,1172,372,0.26493963599205017,836,393,0.4273809492588043,1232,349,0.6930036544799805,741,371,0.47961345314979553,1024,514,0.3317265212535858,954,517,0.5618289113044739,1031,615,0.5935702919960022,936,617,0.5569009780883789,1032,712,0.38366761803627014,926,722,0.32760581374168396
15,0.4939013421535492,1011,338,0.49437379837036133,1089,378,0.6217418313026428,938,382,0.38625335693359375,1149,372,0.37119346857070923,830,385,0.35453176498413086,1233,334,0.6678382158279419,736,352,0.7509775757789612,1021,517,0.34766075015068054,949,519,0.5867003798484802,1026,617,0.6134076714515686,928,618,0.5269089341163635,1029,714,0.41629233956336975,929,718,0.35977107286453247
16,0.5310233235359192,1010,336,0.48707717657089233,1067,374,0.5590665340423584,935,380,0.4145186245441437,1160,367,0.3747130334377289,825,370,0.40813466906547546,1228,319,0.48888638615608215,733,335,0.7810177803039551,1036,518,0.5559470653533936,947,520,0.617936372756958,1020,614,0.5712228417396545,924,615,0.5306596755981445,1026,711,0.43699556589126587,926,717,0.39443323016166687
17,0.5864614546298981,1006,342,0.5874179601669312,1084,382,0.643038272857666,923,383,0.5211308598518372,1169,358,0.45835286378860474,806,356,0.4059290587902069,1239,299,0.507250189781189,724,312,0.6916753649711609,1024,516,0.5992415547370911,939,519,0.6386677026748657,1006,613,0.5794905424118042,926,616,0.5196862816810608,1020,710,0.47103995084762573,923,717,0.44923871755599976
18,0.5794593036174774,1018,341,0.5360521078109741,1069,375,0.6160051226615906,933,379,0.47154515981674194,1169,357,0.3447902500629425,824,357,0.48653101921081543,1242,289,0.7213640809059143,740,304,0.6713823676109314,1035,511,0.6607270836830139,947,512,0.6015223264694214,1015,606,0.560941755771637,937,608,0.4749244749546051,1039,710,0.4884504973888397,924,715,0.4777604639530182
19,0.5751632332801818,1015,343,0.5570774674415588,1069,371,0.41492173075675964,927,381,0.5733019709587097,1171,326,0.37296003103256226,827,349,0.5083966255187988,1227,261,0.8226751089096069,756,279,0.6473903656005859,1036,513,0.6897299289703369,949,517,0.6231739521026611,1018,610,0.5740548372268677,933,612,0.5366392135620117,1039,710,0.4973568320274353,928,716,0.5149617195129395
20,0.6107713818550109,1007,339,0.5389714241027832,1087,381,0.6109380125999451,933,380,0.5524415969848633,1170,322,0.3276129961013794,833,340,0.4763323664665222,1215,252,0.7326528429985046,782,285,0.6562961935997009,1033,515,0.6979692578315735,944,517,0.6482998132705688,1010,614,0.5856201648712158,927,613,0.529208779335022,1034,709,0.49006158113479614,927,710,0.5108099579811096
21,0.5976983785629272,1010,338,0.5037552118301392,1076,375,0.5560792684555054,922,380,0.5215438604354858,1167,313,0.34547755122184753,826,328,0.377533882856369,1208,234,0.46020907163619995,776,275,0.7307602763175964,1026,518,0.6931023597717285,939,520,0.700154721736908,1006,614,0.5958521366119385,933,615,0.5109436511993408,1034,707,0.5065523386001587,934,708,0.5214087963104248
22,0.5679186701774597,1010,333,0.4469969868659973,1072,371,0.47799593210220337,932,376,0.4961211085319519,1146,334,0.44659698009490967,856,328,0.42325618863105774,1199,242,0.6438196897506714,791,264,0.689622700214386,1032,516,0.6427031755447388,947,518,0.6719150543212891,1009,612,0.5400333404541016,937,612,0.5478348135948181,1033,705,0.4832926392555237,937,706,0.5249390602111816
23,0.5552113354206085,1012,332,0.43257543444633484,1080,378,0.5740562081336975,938,377,0.4401295483112335,1142,330,0.39760690927505493,868,330,0.3699902594089508,1191,243,0.6537525057792664,787,256,0.45197123289108276,1037,514,0.6773000955581665,949,512,0.5641205310821533,1007,613,0.5709121823310852,933,611,0.5681595206260681,1034,708,0.4767818748950958,937,712,0.5040922164916992
24,0.5653769493103027,1012,328,0.5413135886192322,1078,373,0.6504999399185181,938,373,0.65170818567276,1140,303,0.4483692944049835,861,299,0.28998279571533203,1169,224,0.5711523294448853,816,236,0.4937821626663208,1024,513,0.42230117321014404,945,513,0.5939695835113525,1020,630,0.5992237329483032,935,634,0.602138876914978,1033,720,0.42498791217803955,929,721,0.5109933018684387
25,0.5601847171783447,1009,329,0.5241779088973999,1073,374,0.6616632342338562,946,375,0.6348379850387573,1132,308,0.481075644493103,870,303,0.28723353147506714,1160,229,0.4919678568840027,839,248,0.5606765151023865,1024,512,0.40745753049850464,947,513,0.5797470211982727,1020,625,0.6201213002204895,936,630,0.5883707404136658,1022,718,0.48612698912620544,931,719,0.4925478994846344
26,0.5985192775726318,1004,324,0.5069957375526428,1074,369,0.6294319033622742,937,370,0.6372866630554199,1137,301,0.455158531665802,871,293,0.26444271206855774,1162,223,0.43054327368736267,845,241,0.4191344082355499,1038,516,0.6783008575439453,944,511,0.5590822100639343,1017,625,0.6260689496994019,935,630,0.5914394855499268,1021,716,0.4978826642036438,934,719,0.4896962642669678
27,0.5879540622234344,1005,324,0.5071982145309448,1075,371,0.6224294900894165,938,372,0.6238366961479187,1143,302,0.44616273045539856,870,306,0.2936328053474426,1157,238,0.28570544719696045,844,242,0.5471113920211792,1039,516,0.6512527465820312,946,511,0.5450538992881775,1018,621,0.6343403458595276,933,626,0.5539350509643555,1023,716,0.5046998262405396,930,718,0.45112431049346924
28,0.6111099481582641,1013,324,0.5328854322433472,1075,372,0.6200627088546753,948,374,0.6226431727409363,1136,308,0.4383361041545868,919,327,0.3121143579483032,1154,245,0.36969080567359924,850,247,0.3398129642009735,1035,513,0.6849465370178223,947,512,0.6416036486625671,1013,617,0.6483812928199768,937,623,0.5734967589378357,1022,716,0.4961048364639282,937,721,0.4975447654724121
29,0.6134238600730896,1014,319,0.5229802131652832,1075,368,0.6145561933517456,944,368,0.6442614793777466,1135,304,0.37316587567329407,912,321,0.30810821056365967,1142,239,0.3734549582004547,876,241,0.3336223363876343,1035,514,0.6856059432029724,947,512,0.6528756618499756,1015,616,0.6492295861244202,938,623,0.5825998783111572,1021,716,0.5003117322921753,930,720,0.4492902159690857
30,0.6195705652236938,1015,320,0.5263359546661377,1074,368,0.6199191212654114,950,370,0.6337315440177917,1134,290,0.4626207947731018,934,324,0.27348482608795166,1148,233,0.4487989544868469,884,249,0.3349763751029968,1034,514,0.703512966632843,947,513,0.6566792726516724,1018,618,0.655841588973999,936,624,0.564021110534668,1026,715,0.49760156869888306,932,720,0.43944817781448364
31,0.6054157733917236,1012,316,0.4692712128162384,1077,361,0.609229564666748,947,364,0.5649146437644958,1138,285,0.44444578886032104,880,264,0.38227465748786926,1148,225,0.38130444288253784,878,234,0.4483870267868042,1036,513,0.692108154296875,948,511,0.6762091517448425,1019,617,0.653009831905365,936,623,0.5609399080276489,1026,715,0.48953571915626526,931,720,0.43972355127334595
32,0.6141032874584198,1003,320,0.46711066365242004,1074,362,0.6161787509918213,943,367,0.6039848923683167,1136,284,0.46281591057777405,923,316,0.22729574143886566,1137,223,0.38560906052589417,875,236,0.5311484336853027,1039,514,0.6771925091743469,948,512,0.6750367879867554,1028,618,0.6626169085502625,937,623,0.5766003727912903,1039,718,0.5012365579605103,935,720,0.4697968065738678
33,0.6020441651344299,1009,319,0.49527621269226074,1077,361,0.5895659923553467,944,366,0.5767735242843628,1139,280,0.4913190007209778,925,319,0.23652036488056183,1140,220,0.4144233167171478,886,240,0.38884297013282776,1038,514,0.6803917288780212,949,512,0.6798316836357117,1030,619,0.6530721187591553,938,624,0.5916523337364197,1042,720,0.5123949646949768,937,721,0.4589836001396179
34,0.5897255599498749,1009,318,0.49292945861816406,1078,363,0.5961489081382751,945,365,0.570131242275238,1137,276,0.39860469102859497,907,284,0.2007901817560196,1139,215,0.3936048448085785,891,238,0.3230088949203491,1040,515,0.6748019456863403,948,513,0.6708643436431885,1019,623,0.4417939782142639,938,625,0.6096038222312927,1043,713,0.41597676277160645,938,721,0.4707927107810974
35,0.5982763409614562,1013,317,0.47747090458869934,1079,361,0.5949926972389221,946,364,0.5678045749664307,1138,271,0.5308566689491272,907,282,0.18703508377075195,1141,215,0.4162825047969818,892,236,0.31363698840141296,1039,515,0.6797049045562744,948,513,0.678427517414093,1032,619,0.6500833034515381,943,625,0.6127821803092957,1043,720,0.5210950374603271,944,724,0.4757636785507202
36,0.5844850659370422,1017,327,0.5251584649085999,1078,372,0.5909459590911865,953,373,0.5859428644180298,1132,279,0.44816121459007263,907,266,0.2960950434207916,1139,219,0.40596017241477966,903,231,0.19954754412174225,1037,518,0.6620293259620667,945,514,0.6205065250396729,1016,622,0.645806610584259,933,628,0.5584904551506042,1031,716,0.4125225841999054,926,717,0.4680578410625458
37,0.5755325138568878,1013,332,0.5299734473228455,1073,375,0.619307279586792,953,374,0.5779944062232971,1111,300,0.3286394476890564,909,279,0.37316370010375977,1132,229,0.37478944659233093,917,243,0.2563266456127167,1029,514,0.6200238466262817,940,514,0.6000880002975464,1005,621,0.6057112216949463,930,622,0.5008849501609802,1027,713,0.409809947013855,934,716,0.5325541496276855
38,0.5683794558048247,1016,332,0.5484739542007446,1072,378,0.6128736734390259,957,376,0.5396173000335693,1106,305,0.318820595741272,914,281,0.3729783892631531,1128,231,0.3718770742416382,928,246,0.2825353145599365,1026,514,0.6182180643081665,938,515,0.6021568179130554,1004,621,0.6093356609344482,932,623,0.4991421103477478,1027,714,0.40953442454338074,936,717,0.5343999266624451
39,0.5851951897144317,1014,333,0.5316964387893677,1073,375,0.6210416555404663,952,371,0.5815743803977966,1105,305,0.2996554970741272,910,276,0.4326709806919098,1127,231,0.355604350566864,931,232,0.2656562030315399,1024,516,0.6457099318504333,936,516,0.6175617575645447,1003,621,0.6026355624198914,936,623,0.4998510479927063,1027,714,0.40566012263298035,940,716,0.5227609872817993
40,0.5699529767036438,1017,332,0.540046751499176,1072,375,0.6197071671485901,959,375,0.5194372534751892,1104,307,0.3463344871997833,918,290,0.3509891927242279,1124,234,0.4035094678401947,935,241,0.24859294295310974,1028,515,0.675202488899231,940,513,0.5720420479774475,1010,618,0.6178963780403137,934,620,0.4843902587890625,1030,714,0.42375999689102173,939,717,0.5172003507614136
41,0.557861840724945,1016,329,0.5379619002342224,1072,373,0.6100021600723267,957,374,0.5354434847831726,1107,304,0.31271854043006897,921,287,0.30053773522377014,1127,234,0.4001986086368561,936,241,0.2273818999528885,1029,512,0.5949019193649292,940,514,0.5934978127479553,1010,617,0.6319336295127869,933,619,0.47885578870773315,1031,715,0.4315110146999359,938,719,0.5220919847488403
42,0.5757942914962768,1015,327,0.5387609004974365,1073,372,0.6182335019111633,957,373,0.5483985543251038,1107,304,0.3215511441230774,918,288,0.30763524770736694,1124,233,0.3853468894958496,931,242,0.24092286825180054,1032,514,0.6950070858001709,943,512,0.5645530819892883,1013,616,0.6366211175918579,935,618,0.49272841215133667,1032,715,0.43848997354507446,939,719,0.5231142044067383
43,0.5925362408161163,1015,326,0.5383457541465759,1074,370,0.6157457828521729,958,372,0.5476695895195007,1108,303,0.31763121485710144,916,287,0.31875279545783997,1126,229,0.44471481442451477,930,242,0.24732470512390137,1033,513,0.7031092047691345,947,513,0.6346827149391174,1012,616,0.629783570766449,940,621,0.5579491257667542,1032,716,0.44466087222099304,940,720,0.5159310698509216
44,0.5770554184913635,1015,327,0.5204159021377563,1074,371,0.6125746369361877,957,374,0.5467261075973511,1108,306,0.3339420258998871,922,289,0.29334893822669983,1126,232,0.4440293610095978,928,249,0.2761462330818176,1031,516,0.6813013553619385,942,513,0.5857514142990112,1008,617,0.6269863247871399,932,620,0.4922446608543396,1031,716,0.4337000548839569,938,719,0.5227001905441284
45,0.5804161071777343,1015,325,0.521169126033783,1074,370,0.6166172027587891,956,372,0.5601276159286499,1108,304,0.3360065817832947,916,289,0.32094648480415344,1124,230,0.4403049647808075,923,248,0.29929080605506897,1032,515,0.6867284774780273,942,512,0.5726214051246643,1009,618,0.6242190599441528,933,620,0.4984779953956604,1019,715,0.4925096333026886,938,719,0.5244165062904358
46,0.5823634445667267,1014,325,0.5254320502281189,1076,368,0.6159048080444336,953,371,0.579125702381134,1111,302,0.3286248445510864,914,286,0.3154844045639038,1126,226,0.43017271161079407,929,238,0.2561129629611969,1034,515,0.68800288438797,942,512,0.5688429474830627,1009,618,0.6262653470039368,933,620,0.505033016204834,1019,716,0.49412816762924194,938,720,0.5171909928321838
47,0.5855197668075561,1011,326,0.5189814567565918,1075,368,0.6179242134094238,951,370,0.5847733616828918,1110,301,0.3303055763244629,909,286,0.3681815266609192,1125,226,0.43586236238479614,925,236,0.2802189886569977,1034,514,0.6957350969314575,942,512,0.5640639066696167,1009,618,0.6173158288002014,933,621,0.5161694884300232,1019,716,0.4848942458629608,938,720,0.5166801810264587
48,0.5819362163543701,1008,326,0.48965105414390564,1075,369,0.6044142246246338,950,372,0.5771884918212891,1130,290,0.3589750826358795,916,289,0.33628636598587036,1130,233,0.4343463182449341,933,246,0.27528682351112366,1038,517,0.6693156361579895,946,513,0.5876129865646362,1014,619,0.6640845537185669,935,622,0.5134766697883606,1021,712,0.49512192606925964,930,718,0.5027706623077393
49,0.5819883406162262,1010,328,0.49788641929626465,1074,370,0.6182711124420166,949,371,0.5827349424362183,1111,307,0.38846296072006226,908,294,0.480908066034317,1130,233,0.4409253001213074,920,234,0.3365313708782196,1040,515,0.6552215218544006,948,513,0.5676223635673523,1014,622,0.6250009536743164,940,624,0.5487468242645264,1019,713,0.47582897543907166,933,717,0.5222743153572083
50,0.5805548429489136,1011,328,0.4966285228729248,1075,369,0.6201087236404419,949,370,0.5765519738197327,1111,306,0.3741540312767029,906,296,0.4973923861980438,1127,229,0.43759864568710327,919,233,0.35071930289268494,1041,515,0.635786771774292,949,513,0.5791301131248474,1018,625,0.6397649049758911,937,626,0.554475724697113,1021,715,0.4720427691936493,937,719,0.5258517265319824
51,0.5550182878971099,1009,324,0.5050823092460632,1076,369,0.6256614327430725,950,371,0.5825110673904419,1113,311,0.3604603707790375,915,312,0.35619020462036133,1129,233,0.4304794669151306,914,246,0.37260401248931885,1033,511,0.472289502620697,954,515,0.6046778559684753,1025,630,0.543862521648407,943,632,0.6285948157310486,1043,717,0.482018381357193,935,719,0.5032593011856079
52,0.5340837240219116,1012,324,0.5332709550857544,1077,370,0.6225384473800659,952,371,0.5684400200843811,1115,316,0.36965301632881165,915,316,0.3595995604991913,1126,236,0.43537208437919617,919,250,0.38450759649276733,1035,514,0.5321758985519409,944,515,0.44359898567199707,1035,628,0.5789508819580078,945,633,0.6538882255554199,1043,719,0.4797103703022003,938,720,0.4902808964252472
53,0.5404808580875397,1009,323,0.5025105476379395,1076,369,0.6225244402885437,950,369,0.5817907452583313,1116,312,0.3255172073841095,917,314,0.3147018253803253,1125,233,0.419302374124527,923,248,0.36474207043647766,1038,514,0.5500876903533936,948,515,0.4619181156158447,1033,632,0.5796120166778564,953,635,0.6696965098381042,1042,722,0.44436830282211304,938,719,0.4787618815898895
54,0.5589182496070861,1008,323,0.5042089223861694,1076,369,0.6322119235992432,953,368,0.5938412547111511,1113,314,0.3599458336830139,918,313,0.31413453817367554,1127,233,0.42687278985977173,914,246,0.39718514680862427,1043,515,0.5809243321418762,952,516,0.49849486351013184,1038,635,0.608998715877533,956,639,0.6649460196495056,1042,721,0.44886794686317444,943,718,0.46004629135131836
55,0.538898891210556,1007,323,0.4959389269351959,1075,370,0.6422038078308105,954,370,0.5933719277381897,1109,314,0.34652867913246155,910,303,0.41577357053756714,1124,235,0.4157490134239197,920,248,0.39684629440307617,1037,514,0.5326510071754456,949,515,0.44199976325035095,1027,635,0.5259609222412109,948,640,0.6245606541633606,1036,717,0.41971054673194885,936,717,0.508790910243988
56,0.5468071043491363,1002,325,0.4379981756210327,1068,368,0.6368263959884644,948,370,0.5676312446594238,1111,315,0.3903089761734009,913,318,0.3386320471763611,1128,235,0.42452654242515564,915,252,0.4251021146774292,1033,512,0.4879598915576935,958,514,0.5609089732170105,1020,633,0.47512364387512207,944,637,0.6473124027252197,1036,717,0.3838863670825958,933,718,0.4807582199573517
57,0.5491754412651062,1002,323,0.4531242251396179,1073,367,0.6226471066474915,946,370,0.5760577321052551,1130,294,0.42224761843681335,906,304,0.3580118715763092,1125,232,0.4723248779773712,920,247,0.3851788640022278,1032,512,0.4835461974143982,954,514,0.593819260597229,1014,633,0.4420970678329468,940,634,0.6171696782112122,1032,716,0.36100125312805176,928,717,0.4875360429286957
58,0.5537396430969238,999,324,0.42231321334838867,1066,368,0.614604115486145,944,373,0.5630388259887695,1133,292,0.43625563383102417,909,298,0.3529045283794403,1129,231,0.465730756521225,913,248,0.4191349744796753,1033,513,0.4966992735862732,956,515,0.5873976349830627,1028,627,0.5783284902572632,937,628,0.6024035811424255,1023,716,0.4554577171802521,935,720,0.5341078042984009
