FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.566107988357544,958,355,0.38421452045440674,1021,395,0.6012946367263794,887,394,0.5655463933944702,1083,430,0.4460352659225464,813,428,0.4198993444442749,1134,453,0.6290671229362488,779,438,0.517751157283783,1001,515,0.564254105091095,916,513,0.5838438868522644,963,606,0.4776894450187683,906,611,0.5534765124320984,985,705,0.5378968119621277,904,703,0.3695935904979706
1,0.5958560407161713,957,353,0.3893761932849884,1009,388,0.600567638874054,890,389,0.614665687084198,1081,414,0.45500805974006653,817,415,0.36574363708496094,1150,425,0.5326973795890808,756,420,0.49960803985595703,993,510,0.6342236399650574,911,510,0.6337792873382568,961,604,0.48733896017074585,903,609,0.5641409158706665,975,699,0.40591874718666077,903,701,0.3599943220615387
2,0.5787836551666259,956,354,0.4072214365005493,1011,387,0.5740315914154053,889,391,0.6099767088890076,1098,407,0.483859658241272,786,407,0.47409456968307495,1151,407,0.4673168659210205,748,399,0.4962496757507324,997,513,0.6034385561943054,916,512,0.5766748785972595,965,608,0.5324270129203796,907,615,0.5961455702781677,982,705,0.5497280955314636,904,704,0.39738813042640686
3,0.5454795956611633,948,350,0.30366185307502747,994,388,0.44494518637657166,877,393,0.5680572390556335,1115,386,0.4792405962944031,790,390,0.4576604664325714,1170,358,0.7548469305038452,752,359,0.5005484223365784,996,519,0.5759649872779846,918,521,0.6100457310676575,972,618,0.5677710771560669,905,623,0.5902717113494873,987,702,0.515366792678833,899,700,0.4433876872062683
4,0.5631167411804199,954,349,0.6214832067489624,991,386,0.4656045436859131,869,390,0.4831199049949646,1115,381,0.6035292148590088,780,376,0.5526052117347717,1168,340,0.8015612363815308,760,331,0.44360530376434326,987,521,0.6389531493186951,908,523,0.6599059700965881,968,618,0.5821077227592468,893,624,0.5417987704277039,988,701,0.5108226537704468,894,698,0.46376878023147583
5,0.625686776638031,954,348,0.6752672791481018,1000,383,0.5737430453300476,879,387,0.5755175948143005,1114,366,0.6408967971801758,787,364,0.4269447326660156,1157,313,0.7920583486557007,751,311,0.45610755681991577,993,522,0.6812601089477539,915,524,0.715330958366394,971,619,0.5863690972328186,900,625,0.603342592716217,984,693,0.4797306954860687,898,697,0.5726410150527954
6,0.570270198583603,963,347,0.5940486192703247,1012,380,0.6661005020141602,886,382,0.5740190744400024,1105,360,0.522940993309021,791,351,0.39982667565345764,1154,303,0.5960547924041748,758,289,0.6055110692977905,980,521,0.4912436604499817,907,525,0.5492618083953857,976,623,0.5572711229324341,902,625,0.5928653478622437,985,693,0.46761175990104675,897,694,0.5802061557769775
7,0.5601191699504853,967,347,0.5437661409378052,1013,376,0.5939432382583618,895,376,0.5260950326919556,1095,337,0.5003261566162109,817,331,0.49295520782470703,1124,268,0.6299518942832947,802,264,0.589902937412262,981,522,0.5140126347541809,908,525,0.5840726494789124,965,628,0.5566490888595581,910,630,0.5655544400215149,978,701,0.5763776302337646,903,697,0.5390883088111877
8,0.5623423039913177,965,345,0.547860860824585,1006,373,0.5602567791938782,889,374,0.5159524083137512,1098,312,0.5371387600898743,821,316,0.39475688338279724,1111,254,0.49841558933258057,803,253,0.6272083520889282,983,520,0.5729201436042786,908,524,0.6113377809524536,966,625,0.5622597336769104,915,628,0.5668700337409973,977,699,0.47734203934669495,912,700,0.5284230709075928
9,0.5646051824092865,954,345,0.4292673170566559,1003,375,0.5346307754516602,897,380,0.5566607117652893,1058,329,0.3514420688152313,841,310,0.44166281819343567,1095,256,0.7448706030845642,831,249,0.6317601203918457,984,520,0.5428863763809204,911,524,0.6142060160636902,967,626,0.5991488695144653,899,626,0.5775241851806641,986,706,0.5846309065818787,905,704,0.51701420545578
10,0.5490626215934753,965,345,0.5433270931243896,1005,371,0.46818020939826965,892,376,0.4797789454460144,1088,303,0.4283447563648224,841,303,0.42924004793167114,1095,238,0.6222137808799744,833,244,0.507843017578125,987,521,0.592374324798584,914,525,0.6480938792228699,968,631,0.5701745748519897,911,631,0.5679083466529846,983,707,0.600803792476654,915,704,0.5405261516571045
11,0.5655220210552215,956,348,0.43515071272850037,1009,371,0.45939263701438904,902,379,0.5174768567085266,1069,310,0.48565369844436646,851,298,0.3532754182815552,1093,240,0.6736895442008972,840,243,0.5263907313346863,990,520,0.6251441240310669,918,525,0.6744669675827026,976,628,0.5672702193260193,915,628,0.5477001070976257,987,706,0.5732610821723938,905,704,0.547173023223877
12,0.5574305355548859,967,347,0.4890509843826294,1004,377,0.5581624507904053,900,383,0.5752295255661011,1068,306,0.5189265608787537,863,292,0.3168441653251648,1071,239,0.4981865882873535,866,237,0.32661890983581543,981,523,0.5400245785713196,910,526,0.6056156158447266,965,638,0.48204275965690613,919,638,0.5608400106430054,977,709,0.5875644087791443,913,704,0.407870888710022
13,0.5367773056030274,963,346,0.5480144023895264,1001,374,0.4708534777164459,901,383,0.5544664859771729,1068,298,0.4437257647514343,866,289,0.3120119869709015,1081,235,0.5608758926391602,844,241,0.47363024950027466,984,519,0.5418158173561096,911,522,0.5920543670654297,961,632,0.5408012270927429,918,633,0.49454182386398315,978,706,0.5954644083976746,913,702,0.4365823566913605
