FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
41,963,301,1065,364,895,351,1129,392,776,328,1047,351,920,318,1016,529,927,529,1028,630,905,625,1089,736,860,709
42,974,302,1068,362,907,352,1127,394,784,335,1035,349,906,320,1029,531,925,528,1027,630,906,625,1090,736,861,710
43,977,307,1069,361,913,352,1116,397,788,338,1024,354,875,329,1016,526,924,524,1028,627,908,622,1088,735,864,713
44,981,309,1067,361,906,349,1119,396,787,336,1029,350,892,320,1030,526,927,523,1027,624,911,620,1089,736,863,710
45,978,303,1064,357,902,344,1115,395,789,337,1015,346,889,321,1028,523,922,520,1027,622,911,618,1088,734,864,707
46,984,314,1063,366,904,352,1116,396,790,338,1022,345,900,319,1025,525,925,523,1024,623,913,618,1087,734,863,707
47,984,315,1067,367,904,352,1111,399,782,339,993,341,894,325,1028,526,927,525,1031,626,921,620,1093,736,871,700
48,992,316,1073,370,908,353,1111,397,792,335,1021,348,913,317,1032,529,928,525,1038,621,922,618,1089,733,865,694
49,988,316,1072,363,908,348,1115,397,794,335,1015,345,898,323,1030,529,928,525,1050,625,910,619,1094,738,869,696
50,987,313,1075,372,907,350,1127,397,786,328,1031,348,906,322,1033,532,927,529,1074,631,899,628,1120,738,867,705
51,994,322,1071,371,911,350,1116,396,803,331,1040,350,895,325,1024,535,923,531,1070,637,898,625,1119,742,864,705
52,997,320,1079,369,911,349,1122,399,812,340,1001,336,878,327,1028,532,929,528,1076,628,903,621,1120,738,864,698
53,999,325,1075,375,919,356,1124,400,830,338,1018,346,885,329,1026,528,927,523,1071,624,903,622,1105,738,864,701
54,1002,322,1081,371,918,351,1130,399,822,336,1004,328,894,327,1030,527,931,522,1063,631,902,619,1096,737,868,699
55,1011,325,1069,369,915,350,1124,403,814,337,1001,328,891,326,1021,532,919,528,1060,641,883,634,1097,739,859,702
56,1010,322,1076,366,919,349,1126,400,823,338,1000,329,887,327,1019,534,917,529,1057,639,891,637,1095,738,866,700
57,1011,321,1074,363,921,349,1127,401,807,332,1022,347,882,328,1017,531,915,527,1048,638,894,634,1109,739,867,710
58,1000,318,1076,371,918,351,1127,402,803,333,1027,349,885,327,1016,529,913,525,1043,639,888,632,1102,744,861,707
