FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
16,960,382,1013,428,906,424,971,387,878,364,1005,362,871,306,1001,544,931,543,992,642,928,635,1012,720,921,715
17,957,383,1011,428,911,425,971,387,877,363,1006,361,870,307,997,545,928,543,989,642,927,635,1011,720,921,715
18,960,382,1011,427,911,424,977,387,876,363,1008,361,871,308,998,544,928,543,991,640,928,634,1010,720,920,715
19,963,381,1016,427,914,423,979,385,878,362,1024,304,871,306,1001,544,931,543,993,640,929,633,1011,720,920,715
20,954,383,1004,430,909,425,973,387,875,361,1007,361,871,310,993,544,928,543,990,639,929,633,1012,717,920,715
21,958,381,1008,426,911,422,978,385,876,361,1010,359,870,309,997,543,930,542,992,639,930,633,1010,720,921,716
22,965,380,1022,427,916,424,991,383,878,368,1031,305,873,306,1002,544,931,543,995,641,929,634,1015,717,920,717
23,968,383,1025,428,919,427,992,385,878,369,1034,308,872,307,1004,547,930,544,995,643,927,636,1016,719,919,718
24,975,383,1041,428,924,426,1040,381,882,366,1035,298,875,296,1011,544,929,541,995,646,926,640,1017,719,922,717
25,972,389,1030,430,913,427,1042,382,884,367,1046,299,869,298,1003,547,924,544,989,644,923,638,1011,722,915,719
26,970,389,1028,429,913,427,1043,384,886,369,1052,299,854,298,1004,547,924,544,989,644,923,639,1011,721,915,719
27,965,388,1022,429,909,425,1034,386,884,370,1042,300,870,302,1003,545,925,542,987,642,924,637,1010,720,917,717
28,967,385,1028,429,922,426,1032,384,886,374,1041,296,875,300,1006,543,927,541,989,642,924,636,1010,719,917,715
29,965,386,1027,428,920,428,983,386,881,376,1034,300,871,305,1004,546,925,543,987,643,922,637,1009,719,916,715
30,964,379,1028,418,912,415,1031,378,884,364,1037,295,874,304,1006,541,924,540,991,642,922,635,1011,716,915,716
31,966,382,1033,418,915,415,1027,379,884,369,1030,297,859,304,1006,544,926,542,991,643,918,630,1012,715,916,712
