FrameNo,head_x,head_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_hand_x,left_hand_y,right_hand_x,right_hand_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_foot_x,left_foot_y,right_foot_x,right_foot_y
108,1041,345,1109,388,996,384,1121,373,967,362,1152,286,937,282,1088,527,1001,530,1105,619,1027,625,1060,685,1024,688
109,1034,351,1085,392,966,399,1117,379,988,374,1149,284,944,278,1043,542,957,556,1036,639,936,661,1031,685,1017,681
110,1018,353,1069,403,917,433,1122,388,973,383,1113,331,915,274,1004,567,884,574,997,656,576,643,1018,675,595,653
111,1031,351,1101,399,935,408,1120,375,963,372,1162,279,919,269,1047,565,918,578,1041,659,871,667,1037,678,1012,679
112,1037,353,1104,396,940,403,1130,377,967,372,1156,292,922,278,1055,563,951,575,1065,672,877,684,1044,681,1011,679
113,1047,355,1107,396,985,397,1129,377,950,371,1162,286,919,277,1065,545,987,553,1065,635,1011,638,1047,687,1017,685
114,1020,367,1091,405,974,455,1123,385,953,372,1103,344,918,270,1047,562,977,571,1014,640,818,635,1041,680,1003,677
115,973,525,1009,536,1002,535,1006,417,991,400,1040,351,1042,353,980,562,974,566,997,621,811,635,1022,681,1000,679
116,1039,372,1103,409,989,410,1126,372,954,371,1155,289,917,280,1076,536,1003,542,1072,624,1026,626,1051,687,1023,686
117,1039,375,1112,415,978,412,1132,371,951,367,1161,285,923,280,1083,542,998,549,1077,631,1028,633,1052,688,1026,684
118,1045,384,1105,422,1002,417,1138,376,968,367,1179,283,918,283,1089,534,1019,537,1089,614,1042,618,1072,689,1022,693
119,1041,385,1115,419,999,416,1136,363,964,366,1170,287,919,283,1094,535,1015,540,1084,620,1043,625,1068,686,1020,691
120,1036,389,1108,416,1002,425,1126,374,956,374,1157,293,907,298,1092,544,1012,549,1104,635,1033,642,1051,686,1026,682
121,1041,390,1074,426,1046,425,1048,407,1031,409,1046,356,1041,358,1057,538,1050,540,1049,616,1044,625,1036,688,1036,681
122,1036,394,1085,419,1013,428,1108,414,1005,408,1047,360,919,304,1077,537,1029,545,1063,619,1038,626,1045,686,1036,681
123,1044,397,1098,425,1006,429,1127,402,1001,400,1161,306,912,296,1082,541,1027,547,1079,626,1044,629,1055,689,1033,684
124,1034,403,1110,428,1001,434,1137,398,952,378,1163,310,907,302,1082,544,1013,547,1081,628,1033,631,1057,689,1024,688
125,1031,409,1120,433,992,434,1154,388,950,371,1162,321,909,307,1081,544,1004,548,1083,616,1036,623,1074,688,1013,691
