FrameNo,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,1011,341,0.715892493724823,1072,385,0.564050018787384,952,392,0.596439778804779,1125,443,0.3993346691131592,906,443,0.4161604046821594,1127,493,0.3952600061893463,890,486,0.3849278688430786,1046,516,0.5547292232513428,960,516,0.5197898745536804,1052,617,0.648693859577179,966,615,0.5665439367294312,1049,708,0.4243532121181488,945,713,0.42448943853378296
1,1012,340,0.6962105631828308,1069,382,0.45741796493530273,950,391,0.603691816329956,1119,443,0.42279893159866333,909,445,0.4294341504573822,1120,493,0.4962731599807739,891,484,0.39051446318626404,1048,518,0.5358729958534241,959,517,0.5184162855148315,1060,613,0.6246596574783325,966,613,0.567638099193573,1048,703,0.3257702887058258,946,709,0.37271618843078613
2,1013,340,0.6710831522941589,1067,383,0.4436901807785034,950,390,0.593429446220398,1120,443,0.4075104892253876,909,445,0.44340288639068604,1117,490,0.5104213953018188,898,485,0.39825648069381714,1049,519,0.5427905321121216,962,518,0.5388884544372559,1065,613,0.615172266960144,953,613,0.3889881372451782,1052,701,0.3226009011268616,950,709,0.3576815128326416
3,1012,339,0.6441923975944519,1066,384,0.46641817688941956,951,392,0.5998416543006897,1121,442,0.3930984437465668,909,444,0.4222777783870697,1107,483,0.4947521686553955,895,481,0.38006240129470825,1050,521,0.5584758520126343,964,519,0.5466562509536743,1065,614,0.6095556616783142,958,613,0.4006129503250122,1057,703,0.3419322073459625,952,711,0.3452772796154022
4,1011,339,0.6162083745002747,1069,382,0.4738415479660034,951,391,0.5830064415931702,1123,442,0.3915818929672241,907,443,0.4274921715259552,1098,468,0.43244096636772156,897,480,0.3784315586090088,1052,521,0.5595322847366333,965,519,0.5487762689590454,1060,613,0.6004166603088379,958,612,0.4219197630882263,1057,703,0.3861122727394104,952,712,0.3592131435871124
5,1011,339,0.6017698645591736,1071,384,0.507844865322113,952,393,0.5841495990753174,1124,443,0.39854127168655396,902,444,0.43028154969215393,1102,487,0.4553733468055725,892,478,0.3568079173564911,1049,521,0.5731943249702454,963,520,0.5387650728225708,1056,612,0.6016985774040222,951,612,0.40573975443840027,1057,700,0.40295010805130005,948,711,0.37939655780792236
6,1010,339,0.5851653218269348,1071,385,0.5113272666931152,950,392,0.5955789089202881,1124,445,0.3537053167819977,897,444,0.4269774854183197,1106,488,0.4566759169101715,884,478,0.3524148166179657,1049,521,0.5530751943588257,961,519,0.5048646330833435,1057,613,0.6138662695884705,949,613,0.4135560095310211,1057,703,0.4117043614387512,945,714,0.3862180709838867
7,1009,342,0.6650496125221252,1069,386,0.5340867638587952,950,392,0.6082740426063538,1121,442,0.2641242444515228,899,443,0.42363470792770386,1098,489,0.4235219657421112,891,485,0.38347187638282776,1049,519,0.5177360773086548,961,518,0.4925258755683899,1047,615,0.5849241018295288,966,613,0.5301003456115723,1056,707,0.44089454412460327,942,716,0.3954712748527527
8,1008,342,0.6912401914596558,1069,387,0.529208242893219,950,393,0.60184246301651,1122,443,0.2639581859111786,898,443,0.42120361328125,1099,490,0.436533659696579,891,484,0.38187626004219055,1050,519,0.5132697224617004,962,518,0.4985943138599396,1050,615,0.5948521494865417,966,613,0.5283425450325012,1057,707,0.4170072078704834,942,715,0.39239272475242615
9,1006,342,0.6866371035575867,1067,388,0.5276642441749573,947,394,0.6369099020957947,1124,445,0.3685701787471771,894,445,0.42138516902923584,1102,488,0.4482405483722687,885,487,0.40693897008895874,1044,519,0.5289884209632874,958,518,0.4827740490436554,1042,616,0.5722434520721436,965,614,0.5343994498252869,1053,708,0.42768529057502747,941,716,0.4039466977119446
10,1006,343,0.6778737306594849,1068,388,0.5241109132766724,941,394,0.6523625254631042,1127,442,0.3634207248687744,891,445,0.4173285961151123,1111,488,0.5049669146537781,880,485,0.428209513425827,1044,519,0.5551244020462036,956,518,0.49098896980285645,1046,616,0.6218043565750122,951,617,0.46655958890914917,1055,708,0.4333159625530243,943,716,0.41293060779571533
11,1004,342,0.6512542963027954,1066,387,0.5057775974273682,940,393,0.6497910618782043,1122,444,0.39681118726730347,891,445,0.4217659533023834,1104,498,0.4756983816623688,877,485,0.41063907742500305,1042,518,0.5342386960983276,956,517,0.4731226861476898,1045,614,0.5939043164253235,951,617,0.48021912574768066,1055,706,0.426045298576355,944,714,0.4163491129875183
12,1006,343,0.6920414566993713,1068,390,0.5070257186889648,945,394,0.656334400177002,1123,445,0.3968442976474762,894,448,0.3997194468975067,1116,492,0.4286361038684845,876,483,0.403399258852005,1045,522,0.5436689853668213,958,520,0.48958808183670044,1043,616,0.5257610082626343,959,616,0.4645235240459442,1056,706,0.43691286444664,947,711,0.3558153212070465
13,1006,342,0.6854062676429749,1065,389,0.48992618918418884,946,393,0.665126383304596,1126,446,0.381862074136734,899,447,0.40861690044403076,1130,497,0.4958939254283905,874,484,0.3926599621772766,1045,518,0.5511107444763184,959,516,0.48781871795654297,1048,618,0.5761006474494934,954,617,0.49289554357528687,1054,705,0.40328696370124817,950,708,0.37426382303237915
14,1008,343,0.7035082578659058,1067,390,0.48940137028694153,948,394,0.6516213417053223,1129,442,0.3071449100971222,894,446,0.4172592759132385,1158,500,0.597503125667572,856,488,0.36242198944091797,1039,515,0.4822700619697571,956,514,0.4175977408885956,1038,617,0.5405852198600769,952,615,0.4891373813152313,1052,707,0.4280143976211548,946,709,0.3962208926677704
15,1010,343,0.733310878276825,1064,386,0.5157469511032104,952,393,0.6402755975723267,1124,435,0.4267439544200897,885,442,0.3414939343929291,1172,461,0.6325349807739258,831,479,0.4329829812049866,1050,512,0.5843176245689392,955,512,0.4847111105918884,1039,606,0.49711909890174866,967,599,0.5086356997489929,1053,701,0.3954954445362091,942,700,0.39852553606033325
16,1008,344,0.7269563674926758,1060,384,0.4811400771141052,952,393,0.6408723592758179,1128,426,0.44753944873809814,890,435,0.3302205502986908,1193,452,0.5164281725883484,817,469,0.6006782054901123,1050,506,0.6071204543113708,958,506,0.5170250535011292,1045,603,0.5069118738174438,969,605,0.5016709566116333,1056,697,0.3960694372653961,947,699,0.41896021366119385
17,1013,344,0.7187682390213013,1062,379,0.402790904045105,954,390,0.5975024104118347,1125,414,0.4190795421600342,879,429,0.36180004477500916,1196,423,0.5353875756263733,790,444,0.48976001143455505,1043,505,0.600485622882843,954,507,0.5034101009368896,1029,603,0.45962563157081604,964,607,0.5622600317001343,1051,698,0.40837714076042175,942,701,0.4220707416534424
18,1010,343,0.708919107913971,1084,381,0.5294799208641052,954,389,0.5419476628303528,1144,412,0.40464919805526733,872,418,0.3575791120529175,1196,421,0.5501381754875183,794,430,0.5285152792930603,1038,507,0.5646804571151733,951,509,0.49593886733055115,1019,608,0.4503081738948822,960,600,0.5618042349815369,1046,703,0.4292158782482147,938,704,0.4351714253425598
19,1010,342,0.7150391340255737,1083,380,0.566267192363739,952,390,0.533433735370636,1144,401,0.3588663935661316,843,415,0.2934304177761078,1229,398,0.5790934562683105,767,407,0.5153741836547852,1037,505,0.5437844395637512,955,508,0.5162564516067505,1018,606,0.3901021182537079,958,599,0.5360603928565979,1042,705,0.4030693769454956,941,707,0.41949498653411865
20,1009,337,0.5559361577033997,1086,382,0.5290250182151794,939,385,0.4945947825908661,1175,381,0.40369072556495667,823,390,0.4092520773410797,1243,345,0.638894259929657,752,360,0.7085777521133423,1025,516,0.39476045966148376,951,520,0.5971286296844482,1018,614,0.4572676122188568,949,610,0.6700592041015625,1043,706,0.4222138822078705,942,712,0.42487049102783203
21,1015,338,0.5465970635414124,1073,380,0.5131159424781799,953,387,0.4862287938594818,1187,367,0.4571797549724579,826,377,0.4185998737812042,1253,318,0.6662359237670898,759,340,0.6883722543716431,1036,520,0.5089375972747803,949,523,0.4420866072177887,1039,616,0.5779626965522766,959,611,0.6529875993728638,1051,700,0.41581544280052185,948,708,0.4478563666343689
22,1002,340,0.6102526187896729,1077,380,0.594218909740448,942,380,0.4151846468448639,1177,349,0.24295979738235474,838,354,0.42677927017211914,1226,276,0.7233040928840637,766,299,0.6222076416015625,1034,517,0.4687333106994629,949,520,0.4280022084712982,1040,613,0.5959178805351257,955,609,0.6581568717956543,1052,696,0.40730246901512146,948,707,0.4390656054019928
23,1004,338,0.5947334170341492,1083,383,0.5127713084220886,948,381,0.43854856491088867,1179,328,0.25025931000709534,840,348,0.5160748958587646,1221,272,0.8123778700828552,772,282,0.6228101849555969,1036,517,0.48340722918510437,953,521,0.4528639018535614,1037,615,0.5971390008926392,957,609,0.648246169090271,1052,698,0.4083860218524933,951,707,0.42543351650238037
24,1000,324,0.3191514313220978,1066,368,0.5764425992965698,929,374,0.5044887661933899,1147,307,0.546764612197876,872,316,0.3323589563369751,1170,232,0.4440256357192993,824,243,0.46219947934150696,1039,516,0.6649072766304016,941,513,0.590348482131958,1017,617,0.6770859956741333,941,618,0.6916500926017761,1034,707,0.4752269387245178,943,714,0.5199604034423828
25,1002,323,0.3289696276187897,1067,366,0.5903571248054504,932,371,0.5677671432495117,1145,298,0.4586101472377777,862,299,0.34223783016204834,1169,224,0.36318546533584595,837,238,0.5342680215835571,1043,514,0.6273316740989685,947,511,0.6439630389213562,1024,618,0.6729215979576111,934,618,0.6823654174804688,1036,709,0.45951512455940247,945,715,0.48999860882759094
26,996,324,0.3220529854297638,1066,364,0.5758230686187744,932,367,0.5549072027206421,1137,308,0.4794534742832184,866,286,0.32608160376548767,1166,248,0.41626548767089844,860,231,0.23175300657749176,1032,514,0.4923239052295685,950,514,0.5971590876579285,1027,621,0.6239439845085144,938,620,0.7023281455039978,1041,708,0.4754069149494171,947,715,0.5180964469909668
27,1006,322,0.4941413998603821,1069,359,0.5720164775848389,931,366,0.5208786129951477,1141,283,0.534809410572052,868,268,0.29838278889656067,1152,232,0.25212445855140686,867,225,0.2460888773202896,1040,513,0.5577123165130615,952,514,0.5924015641212463,1044,617,0.7427728176116943,948,619,0.7108368277549744,1051,704,0.4838778078556061,954,715,0.49748772382736206
28,1007,323,0.45636796951293945,1068,361,0.5706067085266113,938,366,0.5708725452423096,1131,293,0.4707108438014984,907,309,0.26226335763931274,1129,235,0.2887902855873108,867,226,0.5207312107086182,1049,514,0.5637869834899902,952,513,0.4460604786872864,1063,617,0.7417277097702026,961,619,0.6975662112236023,1055,706,0.4475385844707489,958,718,0.43112999200820923
29,1004,322,0.29514122009277344,1070,365,0.5718132853507996,944,371,0.5506225824356079,1131,307,0.3672069311141968,915,315,0.283660352230072,1124,258,0.29494842886924744,865,235,0.48486024141311646,1049,515,0.5725980997085571,954,515,0.4665769636631012,1066,618,0.741913914680481,962,620,0.6760791540145874,1057,708,0.4421430230140686,958,719,0.401988685131073
30,1001,323,0.29227107763290405,1069,364,0.5517672300338745,942,371,0.5355116724967957,1131,306,0.3350988030433655,914,311,0.2775447964668274,1115,242,0.26734697818756104,873,231,0.5527987480163574,1047,515,0.5415497422218323,952,515,0.429361492395401,1061,618,0.7318224310874939,960,621,0.6527323722839355,1056,708,0.44327980279922485,954,720,0.3934764862060547
31,996,324,0.3980136215686798,1066,363,0.5679149627685547,936,370,0.546417772769928,1129,290,0.370489239692688,922,312,0.17430372536182404,1119,237,0.2689512372016907,877,227,0.48525822162628174,1046,514,0.5909296870231628,952,515,0.46831536293029785,1056,620,0.7515791654586792,964,620,0.5806989669799805,1057,708,0.4932120442390442,959,721,0.42213869094848633
32,1007,320,0.2986413538455963,1067,366,0.5768693685531616,949,374,0.5776697397232056,1111,311,0.33242669701576233,880,257,0.3373893201351166,1119,240,0.29762521386146545,878,226,0.41864320635795593,1040,510,0.5075998306274414,954,512,0.4346567690372467,1056,620,0.7448589205741882,970,620,0.5710563063621521,1058,708,0.49895238876342773,963,722,0.396513968706131
33,1002,326,0.45880475640296936,1069,366,0.5734246969223022,947,373,0.5861233472824097,1111,310,0.33290281891822815,882,259,0.3529483377933502,1120,239,0.30820369720458984,879,224,0.4116050899028778,1041,510,0.5101633071899414,953,511,0.419951468706131,1055,618,0.7380870580673218,969,619,0.5515314936637878,1057,708,0.48945412039756775,962,721,0.4088018536567688
34,1006,321,0.29822227358818054,1068,367,0.576927661895752,943,374,0.5791422724723816,1114,294,0.3981853425502777,883,254,0.3290039002895355,1122,238,0.2816476821899414,879,221,0.3597583770751953,1043,513,0.6782972812652588,954,512,0.4400213956832886,1057,617,0.7344641089439392,970,620,0.5714075565338135,1058,706,0.4824984073638916,965,720,0.3978557586669922
35,997,324,0.4012320339679718,1068,365,0.5783119797706604,941,371,0.582822859287262,1113,291,0.3944249451160431,882,249,0.34523895382881165,1120,236,0.24307240545749664,881,219,0.32694411277770996,1040,512,0.6675536036491394,954,512,0.5865865349769592,1053,618,0.7361298203468323,968,621,0.5780999064445496,1056,707,0.4906335175037384,963,720,0.41234350204467773
36,1011,324,0.5038442611694336,1077,363,0.5609445571899414,948,372,0.5947045683860779,1116,282,0.3785989284515381,896,252,0.2625354528427124,1122,218,0.2791275084018707,892,228,0.3155427575111389,1037,510,0.6431122422218323,952,511,0.593183696269989,1031,618,0.6854678392410278,949,619,0.724385142326355,1044,707,0.4666748642921448,944,719,0.5128727555274963
37,1007,326,0.4899423122406006,1074,363,0.5568397045135498,949,371,0.5813456773757935,1115,285,0.3528432548046112,899,254,0.2529554069042206,1124,219,0.23620377480983734,893,225,0.2767379581928253,1035,508,0.6233295202255249,953,509,0.6032084822654724,1032,618,0.679169237613678,954,619,0.6956082582473755,1045,707,0.4648931324481964,949,719,0.47246745228767395
38,1006,326,0.4757070541381836,1074,362,0.5521553158760071,949,371,0.5676669478416443,1116,287,0.3775847256183624,958,347,0.12498702853918076,1123,234,0.19197040796279907,897,226,0.2384433001279831,1037,507,0.6404484510421753,955,508,0.6155235171318054,1032,616,0.6940807700157166,954,617,0.7014514803886414,1047,706,0.4703719913959503,950,718,0.48087045550346375
39,1008,321,0.3324618637561798,1073,364,0.5449593663215637,948,372,0.5628088712692261,1117,290,0.38975343108177185,904,261,0.1977909356355667,1125,236,0.21381333470344543,896,227,0.24325159192085266,1036,507,0.6226428151130676,954,508,0.6048023104667664,1030,616,0.6754206418991089,954,615,0.6974254846572876,1047,704,0.45826876163482666,949,717,0.48716700077056885
40,1007,322,0.332309752702713,1071,365,0.5464328527450562,949,374,0.5677556991577148,1116,290,0.37166520953178406,954,348,0.12847578525543213,1115,241,0.19932442903518677,896,227,0.24662092328071594,1035,509,0.6106202602386475,954,510,0.5908856987953186,1031,617,0.6791561841964722,955,616,0.6871554851531982,1046,704,0.46008944511413574,949,717,0.49213480949401855
