FrameNo,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,964,358,0.48545512557029724,1026,405,0.5624759793281555,907,400,0.6462971568107605,1038,456,0.3056183159351349,861,452,0.4344579577445984,1040,505,0.3677176535129547,865,494,0.3659406304359436,997,526,0.5737334489822388,928,522,0.5767393708229065,996,619,0.380863755941391,921,620,0.46774911880493164,1008,713,0.38962027430534363,911,711,0.4194898009300232
1,965,357,0.4952516555786133,1026,405,0.5694565773010254,908,401,0.6342570185661316,1033,456,0.37674230337142944,860,452,0.43625032901763916,1041,507,0.35424086451530457,865,494,0.3636023998260498,996,526,0.5733186602592468,927,523,0.5864799618721008,999,617,0.42062968015670776,919,618,0.4716258645057678,1008,712,0.4279124438762665,912,710,0.3898668885231018
2,965,358,0.5067368745803833,1028,406,0.5518010258674622,908,402,0.6205750107765198,1037,458,0.3058079779148102,859,451,0.43978607654571533,1043,512,0.36686408519744873,864,499,0.36367473006248474,998,528,0.5896527767181396,927,523,0.5949922204017639,1002,618,0.40502211451530457,920,618,0.4639483690261841,1009,714,0.4229525029659271,914,712,0.3952444791793823
3,967,358,0.541595458984375,1029,406,0.5432077050209045,909,402,0.617640495300293,1037,457,0.2966911196708679,859,451,0.4323519468307495,1041,507,0.35300499200820923,863,497,0.3619665503501892,998,527,0.5996860861778259,928,523,0.5966228246688843,1000,616,0.4298728108406067,918,617,0.47946760058403015,1010,713,0.43837887048721313,913,710,0.3979301154613495
4,968,359,0.5734792351722717,1027,407,0.5484873056411743,909,402,0.6031942367553711,1033,457,0.3676227629184723,860,451,0.43360328674316406,1040,508,0.34066835045814514,864,495,0.3492039442062378,998,527,0.5975474119186401,928,523,0.5835689902305603,1001,615,0.42649757862091064,919,615,0.48630833625793457,1010,712,0.4419631361961365,915,710,0.40327227115631104
5,968,360,0.5779209136962891,1024,403,0.44160765409469604,909,402,0.6003786325454712,1034,457,0.36729976534843445,859,451,0.4380090534687042,1040,505,0.33557426929473877,862,495,0.3658418357372284,999,528,0.6024936437606812,928,523,0.5844824314117432,1001,615,0.42679592967033386,919,616,0.4739113748073578,1010,712,0.4509448707103729,913,709,0.410271018743515
6,969,360,0.5924555659294128,1024,403,0.44604650139808655,911,402,0.5894932746887207,1033,457,0.3701498508453369,859,451,0.4437333047389984,1042,503,0.3569583296775818,862,494,0.36801865696907043,998,527,0.5899143218994141,927,523,0.5849213004112244,1000,614,0.41560691595077515,918,615,0.4712603688240051,1010,712,0.4465501308441162,913,709,0.41806918382644653
7,970,359,0.5836246609687805,1026,403,0.43744462728500366,911,402,0.5880838632583618,1037,456,0.30967897176742554,859,451,0.44120803475379944,1042,502,0.35924291610717773,860,489,0.3673299551010132,998,526,0.5964553356170654,928,522,0.5817025303840637,1001,614,0.43176740407943726,918,615,0.4765119254589081,1011,711,0.4495598375797272,913,708,0.42163896560668945
8,969,359,0.5799067616462708,1030,406,0.5275785326957703,911,402,0.5901781320571899,1038,456,0.31147342920303345,859,451,0.4349311590194702,1042,502,0.35799461603164673,861,489,0.36403152346611023,998,527,0.5913308262825012,928,522,0.5761885046958923,1001,614,0.4259054660797119,919,615,0.4777495265007019,1012,710,0.4418811798095703,913,708,0.4269486665725708
9,969,359,0.5812438130378723,1025,402,0.434796005487442,910,401,0.5990197658538818,1037,456,0.3049153685569763,860,451,0.43842819333076477,1043,505,0.3637857139110565,861,488,0.36646905541419983,998,526,0.5897324085235596,928,522,0.5790680050849915,1002,613,0.42761674523353577,920,614,0.47711044549942017,1012,711,0.44872090220451355,915,709,0.4233011305332184
10,970,359,0.5832647681236267,1025,402,0.44880038499832153,909,401,0.5933297872543335,1036,464,0.25841134786605835,860,452,0.4541856646537781,1049,510,0.4427970349788666,867,498,0.3802417516708374,995,526,0.5563248991966248,928,523,0.5984176993370056,1000,617,0.43131089210510254,924,618,0.492987722158432,1010,712,0.41590484976768494,913,711,0.4337529242038727
