filename,orig_start,orig_end,block,motion,t_start,t_end
B18,104,108,top_left,7329.395045553923,6.866666666666666,7.133333333333334
A121,96,100,top_left,6107.1567284456405,6.333333333333333,6.6
B19,104,108,top_left,5612.457305860169,6.866666666666666,7.133333333333334
B21,107,111,top_left,4889.372368969245,7.066666666666666,7.333333333333333
B20,110,114,top_left,4532.058374581955,7.266666666666667,7.533333333333333
A108,145,149,top_right,3977.434715454329,9.6,9.866666666666667
B18,114,118,top_left,3716.375391690989,7.533333333333333,7.8
B7,124,128,top_left,3687.2985356231425,8.2,8.466666666666667
B19,109,113,top_left,3532.591680879754,7.2,7.466666666666667
B21,112,116,top_left,3523.2631687535354,7.4,7.666666666666667
A97,166,170,bottom_left,3438.564221926433,11.0,11.266666666666667
B13,150,154,bottom_right,3255.3398247353534,9.933333333333334,10.2
A109,83,87,top_left,3203.511918116833,5.466666666666667,5.733333333333333
B22,96,100,bottom_left,3060.316546946706,6.333333333333333,6.6
B16,105,109,top_right,3059.579629528585,6.933333333333334,7.2
B14,112,116,top_right,3037.9781259617966,7.4,7.666666666666667
A114,97,101,top_left,2853.0914015014346,6.4,6.666666666666667
B20,100,104,top_left,2847.0258351693838,6.6,6.866666666666666
B12,104,108,top_right,2829.892547471362,6.866666666666666,7.133333333333334
A87,169,173,top_left,2778.0562548183275,11.2,11.466666666666667
B21,117,121,top_left,2709.269979788927,7.733333333333333,8.0
B21,102,106,bottom_right,2673.4326956817545,6.733333333333333,7.0
B22,106,110,top_left,2641.8811771262986,7.0,7.266666666666667
A111,81,85,top_right,2558.6300862857975,5.333333333333333,5.6
B22,91,95,top_left,2528.520288795595,6.0,6.266666666666667
B15,120,124,top_right,2511.402488649642,7.933333333333334,8.2
B14,117,121,top_right,2387.8339777480855,7.733333333333333,8.0
B17,106,110,top_left,2363.838495465123,7.0,7.266666666666667
A54,124,128,top_right,2225.2846971545114,8.2,8.466666666666667
A44,115,119,bottom_left,2203.7946416998093,7.6,7.866666666666666
B16,130,134,top_right,2156.185040377644,8.6,8.866666666666667
B6,154,158,top_right,2093.5353954902575,10.2,10.466666666666667
B13,160,164,top_left,2020.4243435531603,10.6,10.866666666666667
B19,99,103,top_left,1963.1858880982475,6.533333333333333,6.8
G68,77,81,top_right,1929.3852113038802,5.066666666666666,5.333333333333333
B12,109,113,top_left,1928.9889164197875,7.2,7.466666666666667
B9,102,106,top_left,1902.779062847257,6.733333333333333,7.0
B22,101,105,top_left,1902.5875306211035,6.666666666666667,6.933333333333334
A112,85,89,top_left,1848.2160610135925,5.6,5.866666666666666
B15,105,109,top_right,1837.0574749618509,6.933333333333334,7.2
B17,111,115,top_left,1833.026894702242,7.333333333333333,7.6
A100,82,86,top_right,1830.1888011598305,5.4,5.666666666666667
B11,111,115,top_right,1818.5560084055185,7.333333333333333,7.6
B8,109,113,bottom_right,1817.6161674862722,7.2,7.466666666666667
A149,50,54,top_left,1817.0308312245702,3.2666666666666666,3.533333333333333
A55,149,153,top_right,1803.5654181941038,9.866666666666667,10.133333333333333
A97,181,185,top_left,1786.3844094126466,12.0,12.266666666666667
B15,115,119,top_right,1751.0338003817587,7.6,7.866666666666666
W07,89,93,bottom_left,1738.1050999732795,5.866666666666666,6.133333333333334
G68,82,86,top_right,1716.739496537577,5.4,5.666666666666667
A59,105,109,top_right,1697.62110589905,6.933333333333334,7.2
B14,107,111,top_left,1684.9730249355903,7.066666666666666,7.333333333333333
B16,115,119,top_right,1683.2697810885243,7.6,7.866666666666666
A44,120,124,bottom_left,1671.8828715651039,7.933333333333334,8.2
W17,52,56,top_right,1640.851645839182,3.4,3.6666666666666665
A70,60,64,top_right,1621.001250440521,3.933333333333333,4.2
A97,191,195,bottom_left,1586.356460526381,12.666666666666666,12.933333333333334
W19,40,44,top_right,1551.0693123594287,2.6,2.8666666666666667
W39,99,103,top_right,1548.0611061176107,6.533333333333333,6.8
A47,100,104,top_right,1499.4515861223317,6.6,6.866666666666666
A50,80,84,top_left,1486.1832061501343,5.266666666666667,5.533333333333333
A114,112,116,top_right,1473.4445342048268,7.4,7.666666666666667
B15,110,114,top_right,1466.7267149198212,7.266666666666667,7.533333333333333
W09,80,84,top_right,1450.0346600956036,5.266666666666667,5.533333333333333
B1,67,71,top_left,1436.5782156789082,4.4,4.666666666666667
A56,143,147,top_right,1426.8221472432554,9.466666666666667,9.733333333333333
A76,76,80,top_right,1422.1809160537064,5.0,5.266666666666667
A55,104,108,top_right,1418.0416688161113,6.866666666666666,7.133333333333334
A53,124,128,top_left,1401.289535238379,8.2,8.466666666666667
A33,116,120,top_left,1399.3810430968986,7.666666666666667,7.933333333333334
A114,102,106,top_right,1381.8375122379412,6.733333333333333,7.0
A155,81,85,top_right,1378.317613648648,5.333333333333333,5.6
A55,154,158,top_right,1364.86397344688,10.2,10.466666666666667
A114,92,96,top_left,1359.7539370484776,6.066666666666666,6.333333333333333
A113,87,91,top_left,1342.71674107955,5.733333333333333,6.0
A45,120,124,top_right,1329.1245127405336,7.933333333333334,8.2
A78,90,94,top_right,1325.5672649217775,5.933333333333334,6.2
A53,129,133,top_right,1315.0830377548957,8.533333333333333,8.8
B13,130,134,top_right,1305.5672644095632,8.6,8.866666666666667
W38,57,61,top_left,1290.081772469585,3.7333333333333334,4.0
W28,52,56,top_left,1259.2577793028101,3.4,3.6666666666666665
B13,135,139,bottom_right,1250.3923330928262,8.933333333333334,9.2
B12,99,103,bottom_right,1247.525311409805,6.533333333333333,6.8
B7,139,143,top_left,1246.013577400495,9.2,9.466666666666667
A106,93,97,top_left,1245.5635286940803,6.133333333333334,6.4
B9,112,116,top_right,1231.6840987249793,7.4,7.666666666666667
B11,106,110,top_right,1231.191576636142,7.0,7.266666666666667
A97,151,155,top_left,1229.9326737553552,10.0,10.266666666666667
A87,174,178,top_right,1222.3831111776215,11.533333333333333,11.8
A57,134,138,top_right,1217.2070819277842,8.866666666666667,9.133333333333333
A155,91,95,top_left,1196.409712235285,6.0,6.266666666666667
A50,100,104,top_right,1189.6429419327153,6.6,6.866666666666666
A152,115,119,top_left,1186.078716639564,7.6,7.866666666666666
A108,150,154,top_right,1181.6755253431324,9.933333333333334,10.2
B16,135,139,top_left,1169.3215236119688,8.933333333333334,9.2
A110,99,103,top_left,1169.191298124862,6.533333333333333,6.8
B18,134,138,top_left,1165.7304951522633,8.866666666666667,9.133333333333333
A76,71,75,top_right,1157.184267623777,4.666666666666667,4.933333333333334
A114,122,126,bottom_right,1148.4267810731656,8.066666666666666,8.333333333333334
A114,117,121,bottom_left,1141.982982877814,7.733333333333333,8.0
B18,119,123,top_left,1140.0183940860252,7.866666666666666,8.133333333333333
W25,110,114,bottom_left,1135.7650805601174,7.266666666666667,7.533333333333333
A153,64,68,top_right,1132.2994162864532,4.2,4.466666666666667
B7,129,133,top_left,1127.3286507314078,8.533333333333333,8.8
A115,85,89,top_left,1113.1132763109274,5.6,5.866666666666666
W07,84,88,bottom_left,1100.2456140643797,5.533333333333333,5.8
W34,95,99,bottom_right,1095.7923801048796,6.266666666666667,6.533333333333333
A55,99,103,top_right,1095.5938706801837,6.533333333333333,6.8
B18,124,128,top_left,1091.4058745558018,8.2,8.466666666666667
A159,55,59,bottom_left,1087.6187202406388,3.6,3.8666666666666667
W38,72,76,top_left,1087.578524057055,4.733333333333333,5.0
A111,76,80,top_right,1084.5008615281315,5.0,5.266666666666667
A153,49,53,top_right,1081.1669520008277,3.2,3.466666666666667
A110,104,108,top_left,1077.9952695202192,6.866666666666666,7.133333333333334
B7,149,153,top_right,1077.0986664590994,9.866666666666667,10.133333333333333
A153,74,78,top_left,1076.9718058244207,4.866666666666666,5.133333333333334
A74,95,99,bottom_left,1071.8643536998302,6.266666666666667,6.533333333333333
A159,60,64,top_left,1067.520805701184,3.933333333333333,4.2
B14,122,126,top_left,1065.8444719677805,8.066666666666666,8.333333333333334
A154,46,50,top_right,1064.1902852754733,3.0,3.2666666666666666
B17,136,140,top_right,1061.1985985401307,9.0,9.266666666666667
A115,75,79,top_right,1059.5266484989293,4.933333333333334,5.2
A54,139,143,top_left,1051.1261975871307,9.2,9.466666666666667
A54,129,133,top_right,1047.6686683445353,8.533333333333333,8.8
A105,131,135,top_left,1045.4583183420568,8.666666666666666,8.933333333333334
G74,91,95,top_right,1037.3947991550049,6.0,6.266666666666667
W41,84,88,bottom_left,1033.9082385999754,5.533333333333333,5.8
A152,65,69,bottom_right,1033.3249522979759,4.266666666666667,4.533333333333333
A115,95,99,top_left,1031.9597323339342,6.266666666666667,6.533333333333333
A150,52,56,top_right,1025.3730510991224,3.4,3.6666666666666665
W22,107,111,top_right,1022.5448275580578,7.066666666666666,7.333333333333333
W42,75,79,bottom_left,1018.8231363075164,4.933333333333334,5.2
W19,45,49,top_right,1017.8076863475762,2.933333333333333,3.2
A112,90,94,top_right,1016.4530310308277,5.933333333333334,6.2
W17,57,61,top_right,1013.3093208647498,3.7333333333333334,4.0
A97,146,150,top_left,1011.8106901729202,9.666666666666666,9.933333333333334
A52,78,82,top_right,1006.9268141151683,5.133333333333334,5.4
B9,117,121,top_right,1005.2597304519838,7.733333333333333,8.0
A151,84,88,top_right,1004.7612595536639,5.533333333333333,5.8
B16,125,129,top_right,1002.1823716702539,8.266666666666667,8.533333333333333
B21,122,126,top_left,998.5836576085742,8.066666666666666,8.333333333333334
B13,145,149,bottom_right,994.892940390698,9.6,9.866666666666667
A156,96,100,bottom_left,984.1971209741679,6.333333333333333,6.6
A154,31,35,top_left,983.5367612492952,2.0,2.2666666666666666
B20,120,124,top_right,983.1951080763353,7.933333333333334,8.2
W40,139,143,top_left,979.0724543860571,9.2,9.466666666666667
A100,112,116,top_right,974.8632554140809,7.4,7.666666666666667
W02,72,76,top_right,973.3773897619492,4.733333333333333,5.0
A81,144,148,top_right,970.2159519854981,9.533333333333333,9.8
A86,102,106,top_right,967.3377999804135,6.733333333333333,7.0
G79,102,106,top_right,951.1378392736581,6.733333333333333,7.0
A60,133,137,top_right,946.4627667039653,8.8,9.066666666666666
A108,160,164,top_right,943.1788651609695,10.6,10.866666666666667
W07,69,73,bottom_right,942.3719368588812,4.533333333333333,4.8
A154,36,40,top_left,941.8941948932517,2.3333333333333335,2.6
A154,56,60,top_left,933.9231787413142,3.6666666666666665,3.933333333333333
A62,119,123,bottom_left,925.2513950863604,7.866666666666666,8.133333333333333
W25,105,109,bottom_right,924.2283504470752,6.933333333333334,7.2
A115,80,84,top_right,913.0760839241716,5.266666666666667,5.533333333333333
W38,82,86,top_right,911.4087500814846,5.4,5.666666666666667
A149,60,64,top_right,910.9315626942043,3.933333333333333,4.2
A151,99,103,top_right,910.8301741662182,6.533333333333333,6.8
B13,180,184,top_left,910.1225513430584,11.933333333333334,12.2
A149,90,94,top_right,907.4453195470867,5.933333333333334,6.2
A153,59,63,bottom_left,899.6735703509479,3.8666666666666667,4.133333333333334
B18,129,133,top_right,894.3752924860944,8.533333333333333,8.8
A54,134,138,top_right,892.4175011958332,8.866666666666667,9.133333333333333
B8,114,118,top_left,891.2467766070712,7.533333333333333,7.8
W40,124,128,top_right,891.1249207505956,8.2,8.466666666666667
A115,70,74,top_right,888.0558191690126,4.6,4.866666666666666
A87,164,168,top_right,887.8390058164473,10.866666666666667,11.133333333333333
A50,75,79,top_left,881.8303679173124,4.933333333333334,5.2
A97,201,205,bottom_right,881.5326848094445,13.333333333333334,13.6
A45,115,119,bottom_right,880.3342858235835,7.6,7.866666666666666
B17,141,145,top_right,878.7460150099517,9.333333333333334,9.6
W16,72,76,top_right,878.642494016688,4.733333333333333,5.0
A106,83,87,top_right,877.5711888157455,5.466666666666667,5.733333333333333
B22,121,125,top_right,876.3682084994481,8.0,8.266666666666667
A101,117,121,top_right,874.6432473514529,7.733333333333333,8.0
A111,71,75,top_right,865.4744387705408,4.666666666666667,4.933333333333334
W12,130,134,top_left,864.0177305461544,8.6,8.866666666666667
A155,96,100,top_left,861.769454420558,6.333333333333333,6.6
A156,121,125,top_left,860.9868270637853,8.0,8.266666666666667
W02,57,61,top_left,860.0336197684054,3.7333333333333334,4.0
A112,95,99,top_right,855.0558481019408,6.266666666666667,6.533333333333333
A152,75,79,top_right,854.6502211433232,4.933333333333334,5.2
W28,47,51,top_left,851.8326212375866,3.066666666666667,3.3333333333333335
A57,129,133,top_right,849.5788390887668,8.533333333333333,8.8
A123,69,73,top_right,840.3694030130551,4.533333333333333,4.8
A156,91,95,top_left,839.9108903419369,6.0,6.266666666666667
W35,100,104,top_right,836.1017342437912,6.6,6.866666666666666
W38,77,81,bottom_right,835.862297271356,5.066666666666666,5.333333333333333
W09,105,109,top_right,834.2156418184844,6.933333333333334,7.2
W35,75,79,top_right,832.1317274951605,4.933333333333334,5.2
W37,80,84,top_right,831.2856648882632,5.266666666666667,5.533333333333333
A105,96,100,top_right,831.0228935475926,6.333333333333333,6.6
A151,94,98,top_left,829.0104256410343,6.2,6.466666666666667
A150,77,81,top_left,826.4599699088619,5.066666666666666,5.333333333333333
A155,86,90,top_right,818.7513372348158,5.666666666666667,5.933333333333334
A159,75,79,top_left,811.2677294309658,4.933333333333334,5.2
W12,120,124,top_right,807.5578542823753,7.933333333333334,8.2
W41,69,73,bottom_left,806.4147396386143,4.533333333333333,4.8
G80,60,64,top_left,805.7562861377241,3.933333333333333,4.2
A105,126,130,top_right,805.5973661349302,8.333333333333334,8.6
W34,100,104,bottom_left,804.2588322016165,6.6,6.866666666666666
A106,73,77,bottom_left,803.7422011218705,4.8,5.066666666666666
A110,84,88,top_right,798.0532422309601,5.533333333333333,5.8
W39,69,73,top_left,796.6036287157754,4.533333333333333,4.8
W25,120,124,bottom_right,794.5107908191278,7.933333333333334,8.2
A152,70,74,top_left,791.9791159680639,4.6,4.866666666666666
A108,140,144,bottom_right,790.9061150677007,9.266666666666667,9.533333333333333
G78,88,92,top_right,786.1206080922584,5.8,6.066666666666666
A159,70,74,top_right,782.5226222541452,4.6,4.866666666666666
B10,133,137,top_right,781.2523451921959,8.8,9.066666666666666
A113,97,101,top_left,779.108408507884,6.4,6.666666666666667
W37,115,119,bottom_left,778.3383346881694,7.6,7.866666666666666
A84,130,134,top_right,777.5721919133048,8.6,8.866666666666667
A86,137,141,top_right,777.0625690918638,9.066666666666666,9.333333333333334
