FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
68,0.012479,0.77345,-0.01363023,-0.13806,0.56134,-0.009622358,-0.23846,0.78626,-0.11321452,0.16386,0.53453,-0.01847707,0.27576,0.75465,-0.1224833,-0.28232,1.0192,-0.21057495,0.33599,0.99203,-0.19963065,-0.069752,0.057548,0.03813728,0.07099,0.050062,0.024607163,-0.12024,-0.31613,-0.13302721,0.10949,-0.32352,-0.12946893,-0.1316,-0.73613,-0.044784974,0.13035,-0.74466,-0.061427746
69,0.012189,0.77359,-0.013714191,-0.13808,0.56113,-0.009697814,-0.23875,0.78576,-0.11336292,0.16382,0.53451,-0.018597469,0.27553,0.75469,-0.122636154,-0.28246,1.0196,-0.2107113,0.33577,0.99198,-0.1998232,-0.069335,0.057388,0.03806413,0.071481,0.049983,0.024501456,-0.11961,-0.31636,-0.13300027,0.1101,-0.32371,-0.12950043,-0.13135,-0.73634,-0.044791996,0.13078,-0.74484,-0.0614802
70,0.011877,0.77387,-0.013781406,-0.13805,0.56091,-0.009767239,-0.23911,0.78529,-0.11349088,0.16376,0.53471,-0.0187174,0.2753,0.75496,-0.12278205,-0.28277,1.0201,-0.2108377,0.33563,0.99217,-0.20001453,-0.068945,0.057177,0.03796411,0.072057,0.04989,0.024364537,-0.11884,-0.31667,-0.13296072,0.1107,-0.32399,-0.12951295,-0.1311,-0.73665,-0.044788416,0.1312,-0.74506,-0.06154329
71,0.011558,0.77405,-0.013855621,-0.138,0.56081,-0.0098480815,-0.23967,0.78489,-0.11362027,0.16366,0.53504,-0.018847512,0.27518,0.75533,-0.12294927,-0.28316,1.0205,-0.21097422,0.33549,0.99247,-0.20022693,-0.06864,0.056898,0.037854016,0.072543,0.049759,0.024214447,-0.11805,-0.31707,-0.13291773,0.11128,-0.32436,-0.12952788,-0.13102,-0.73711,-0.0447772,0.13164,-0.74529,-0.06161317
72,0.011211,0.77415,-0.013956718,-0.13795,0.56081,-0.009963583,-0.24036,0.78463,-0.11377917,0.16347,0.5356,-0.018990137,0.27516,0.7559,-0.12316318,-0.28371,1.021,-0.21116538,0.33537,0.9929,-0.20049956,-0.068427,0.056594,0.03772466,0.072987,0.049613,0.024035854,-0.11727,-0.3175,-0.13286686,0.11181,-0.3248,-0.12954631,-0.13096,-0.7375,-0.044759426,0.13212,-0.74567,-0.06168773
73,0.010854,0.77437,-0.014073502,-0.13797,0.56081,-0.010081771,-0.24108,0.78463,-0.11395256,0.16329,0.53601,-0.01912774,0.27509,0.75632,-0.12338236,-0.28433,1.0215,-0.21137078,0.33527,0.99323,-0.20077592,-0.068213,0.056502,0.037593838,0.07339,0.049613,0.0238572,-0.11656,-0.31771,-0.13283053,0.11227,-0.32495,-0.12958032,-0.13094,-0.73784,-0.044758186,0.13245,-0.74608,-0.061760686
74,0.010674,0.77446,-0.014199775,-0.13799,0.56081,-0.010205951,-0.24177,0.78425,-0.114135444,0.16307,0.53657,-0.019264806,0.27497,0.75684,-0.123613924,-0.28481,1.022,-0.21160303,0.33511,0.99367,-0.2010754,-0.068196,0.056229,0.03748524,0.073641,0.049445,0.02370056,-0.11615,-0.31805,-0.13278931,0.11241,-0.3253,-0.12960668,-0.13092,-0.73824,-0.044732768,0.13253,-0.74666,-0.061818536
75,0.010477,0.77446,-0.014338106,-0.13795,0.56069,-0.01032096,-0.24256,0.78387,-0.11433379,0.16283,0.53697,-0.019406881,0.27477,0.75718,-0.123849526,-0.28525,1.0222,-0.21185124,0.3349,0.99393,-0.20139502,-0.068141,0.055932,0.037356734,0.073918,0.049291,0.023524474,-0.11577,-0.31845,-0.13276383,0.11255,-0.32568,-0.12965226,-0.13089,-0.73872,-0.044714473,0.13264,-0.74734,-0.061881777
76,0.010276,0.77446,-0.014462944,-0.13786,0.56058,-0.010426143,-0.24331,0.78355,-0.11452083,0.16259,0.53747,-0.019536769,0.27467,0.75753,-0.124063745,-0.28564,1.0222,-0.21208823,0.3347,0.99424,-0.2016875,-0.06807,0.055626,0.037211765,0.074201,0.049139,0.023337118,-0.11546,-0.31884,-0.13274403,0.11273,-0.32606,-0.1296968,-0.13088,-0.73932,-0.04469267,0.13276,-0.74799,-0.061934184
77,0.010047,0.77444,-0.01455475,-0.1377,0.56056,-0.010503463,-0.24383,0.78319,-0.11467272,0.16236,0.53789,-0.01962892,0.2748,0.75774,-0.12421991,-0.28577,1.0222,-0.21227723,0.33464,0.99442,-0.20190933,-0.068012,0.055285,0.037118793,0.074415,0.048987,0.023211485,-0.11533,-0.3192,-0.13271591,0.11292,-0.3264,-0.12972437,-0.13111,-0.73988,-0.0446692,0.13286,-0.74855,-0.061953727
