FrameNo,head_x,head_y,head_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,left_hand_x,left_hand_y,left_hand_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z
68,0.014251948,0.76186186,-0.022720933,-0.13639599,0.54366356,-0.014543624,-0.23931284,0.77280945,-0.12633504,0.1621559,0.5316586,-0.02289881,0.28129873,0.7487346,-0.1329489,-0.28376555,1.0028982,-0.2292594,0.34161952,0.96720695,-0.21053886,-0.06831155,0.039074793,0.004568137,0.07297024,0.032912154,-0.01223658,-0.11998778,-0.34077004,-0.10609151,0.118196815,-0.3661127,-0.1070984,-0.12921882,-0.7267398,-0.040529314,0.12861675,-0.74187344,-0.05983689
69,0.010125334,0.7604872,-0.021379694,-0.13856079,0.54296637,-0.013864555,-0.2420846,0.7758593,-0.12512729,0.16044788,0.53284913,-0.0217061,0.28145212,0.75491744,-0.13113578,-0.28715187,1.0090979,-0.22794142,0.34469247,0.9759053,-0.20842125,-0.06804924,0.04080464,0.0045629777,0.07243037,0.035554457,-0.01227032,-0.12045111,-0.34529084,-0.10585719,0.11994696,-0.36996144,-0.10641451,-0.13120829,-0.7277866,-0.040682696,0.1303799,-0.7435961,-0.059543636
70,0.01276609,0.7629606,-0.02198385,-0.13707632,0.54605377,-0.0141158765,-0.24017964,0.7773443,-0.1254221,0.16168426,0.53398436,-0.022220155,0.2828044,0.75377476,-0.1318996,-0.28362647,1.0082859,-0.22840528,0.34235218,0.9732377,-0.20939346,-0.06763563,0.04299952,0.004539419,0.073357254,0.037337188,-0.012455124,-0.11867205,-0.34345347,-0.10537367,0.116769865,-0.36722425,-0.10646236,-0.13038647,-0.7300064,-0.0405163,0.12798229,-0.745174,-0.059437346
71,0.012088156,0.759235,-0.022152182,-0.13694231,0.5428243,-0.014120611,-0.23965256,0.7740815,-0.12569845,0.16086796,0.53133315,-0.022283172,0.2823906,0.75178844,-0.13208996,-0.28324458,1.0053318,-0.2287275,0.343067,0.9709199,-0.20965338,-0.06813204,0.0408407,0.004584484,0.073273174,0.03543048,-0.012136005,-0.11935327,-0.34615007,-0.10579861,0.11747751,-0.36931595,-0.10673884,-0.1306676,-0.73080736,-0.040535446,0.12770951,-0.74545115,-0.059567
72,0.012156197,0.76560813,-0.023175921,-0.13893355,0.5488611,-0.015813684,-0.24672234,0.77446,-0.12759534,0.15811373,0.53446263,-0.024141567,0.27535167,0.7532099,-0.13438585,-0.29613078,1.0042666,-0.23084186,0.33061236,0.97487026,-0.21178414,-0.070483804,0.038345665,0.0045122467,0.07282504,0.03266937,-0.012313142,-0.12011902,-0.34296677,-0.10513057,0.11669094,-0.367733,-0.10651081,-0.129946,-0.72724587,-0.040339425,0.12651713,-0.74298686,-0.0610794
73,0.0091739455,0.7592206,-0.023052309,-0.13972129,0.5441633,-0.014857939,-0.24128428,0.77449346,-0.12668526,0.1576231,0.5304673,-0.023421075,0.27862677,0.7512749,-0.13387091,-0.28491455,1.0048066,-0.2298032,0.3338366,0.97183424,-0.21142809,-0.071577,0.04418227,0.0043758415,0.07088469,0.03889424,-0.012144409,-0.12023489,-0.34527642,-0.10520104,0.113673225,-0.36625803,-0.10669552,-0.13131246,-0.7340705,-0.04007536,0.124024294,-0.7490535,-0.05994873
74,0.012866185,0.7694906,-0.022816196,-0.1366691,0.55294013,-0.014196926,-0.23656848,0.7782474,-0.1253286,0.16150841,0.5387294,-0.022789486,0.2834713,0.7514388,-0.1328913,-0.27091977,1.006375,-0.2284335,0.3294923,0.97401863,-0.21070765,-0.06945551,0.050661117,0.005079575,0.071995035,0.044571284,-0.0121775605,-0.118709296,-0.3375438,-0.10492229,0.116084084,-0.35811195,-0.1065985,-0.1316013,-0.7358238,-0.0401883,0.12966011,-0.7496867,-0.05955079
75,0.01326578,0.7737862,-0.02398903,-0.13856864,0.5533612,-0.0153536005,-0.24294356,0.7719143,-0.12680207,0.1610222,0.5398587,-0.024175702,0.285529,0.748694,-0.13428214,-0.28048342,0.99504393,-0.22967407,0.33166105,0.9686905,-0.21204916,-0.070544645,0.05206512,0.0046337508,0.0707683,0.04606946,-0.012354635,-0.11910501,-0.33226097,-0.10438023,0.11442909,-0.35284132,-0.10671303,-0.13183132,-0.73149246,-0.039817933,0.12751994,-0.7459948,-0.05956779
76,0.013780824,0.7718917,-0.024363484,-0.13957731,0.5501859,-0.01602738,-0.24810866,0.7679791,-0.1276608,0.16268902,0.5371061,-0.024854874,0.28775588,0.74791557,-0.13504502,-0.29066312,0.99291074,-0.23051448,0.33652037,0.9683781,-0.21254691,-0.07013102,0.048549965,0.004484959,0.07121322,0.042724896,-0.0122703165,-0.118374094,-0.33442962,-0.104195766,0.11587333,-0.35494405,-0.1066622,-0.13195038,-0.73350525,-0.03993446,0.12818739,-0.74751854,-0.059751336
77,0.013950593,0.7714869,-0.02484959,-0.13891537,0.5500817,-0.016390199,-0.24780487,0.7656616,-0.12823813,0.16158007,0.53605145,-0.025295412,0.28585377,0.7459843,-0.13570376,-0.28998944,0.9891646,-0.23113346,0.33115014,0.9666054,-0.2133734,-0.070141986,0.048437655,0.0047029555,0.071888804,0.042619754,-0.012004744,-0.11970957,-0.33350316,-0.10452095,0.115960024,-0.35314757,-0.10704406,-0.13322873,-0.7311538,-0.04003626,0.12763065,-0.7438438,-0.060103767
