Architecture,Window,Layers,Units,LearningRate,Fold1_MSE,Fold2_MSE,Fold3_MSE,Fold4_MSE,Fold5_MSE,Fold6_MSE,Fold7_MSE,Fold8_MSE,Fold9_MSE,Fold10_MSE,Avg_MSE,Avg_MAE,Train_Time_sec
dense,5,5,16,0.01,0.0035484153777360916,0.00493178004398942,0.004421665333211422,,,,,,,,0.004300620251645644,0.04628662516673406,35.18
dense,5,5,16,0.005,0.004084378946572542,0.006287357769906521,0.004514643922448158,,,,,,,,0.004962126879642407,0.04740514978766441,33.85
dense,5,5,16,0.001,0.005582197569310665,0.006435300689190626,0.005335458088666201,,,,,,,,0.005784318782389164,0.05155333007375399,34.41
dense,5,5,16,0.0005,0.003914232365787029,0.005839754361659288,0.005130187142640352,,,,,,,,0.00496139129002889,0.04964901755253474,34.34
dense,5,5,32,0.01,0.0036647517699748278,0.004358056001365185,0.004147931933403015,,,,,,,,0.004056913234914343,0.04333091030518214,34.95
dense,5,5,32,0.005,0.0032664707396179438,0.004410842899233103,0.004199176095426083,,,,,,,,0.00395882991142571,0.042092327028512955,36.29
dense,5,5,32,0.001,0.0035883323289453983,0.005102029535919428,0.004849272780120373,,,,,,,,0.0045132115483284,0.04562496145566305,36.5
dense,5,5,32,0.0005,0.004018854349851608,0.006002399139106274,0.004212838131934404,,,,,,,,0.004744697206964095,0.04760171224673589,36.17
dense,5,5,64,0.01,0.0035028383135795593,0.004113687202334404,0.004300003405660391,,,,,,,,0.003972176307191451,0.04220858961343765,35.71
dense,5,5,64,0.005,0.002791557926684618,0.004668240435421467,0.0038730937521904707,,,,,,,,0.0037776307047655187,0.04105503857135773,31.67
dense,5,5,64,0.001,0.0036543477326631546,0.004862943664193153,0.0037366102915257215,,,,,,,,0.004084633896127343,0.04291716466347376,34.47
dense,5,5,64,0.0005,0.0041273110546171665,0.008017699234187603,0.005080502014607191,,,,,,,,0.0057418374344706535,0.049565576016902924,38.21
dense,5,5,128,0.01,0.003112521953880787,0.004460546653717756,0.003498633159324527,,,,,,,,0.003690567255641023,0.040927903105815254,34.58
dense,5,5,128,0.005,0.0029909966979175806,0.004181118216365576,0.004383252002298832,,,,,,,,0.003851788972193996,0.0410161018371582,35.05
dense,5,5,128,0.001,0.0036335454788058996,0.005068024154752493,0.004051667638123035,,,,,,,,0.004251079090560476,0.04326805969079336,46.66
dense,5,5,128,0.0005,0.004456592258065939,0.006390232592821121,0.005084137432277203,,,,,,,,0.005310320761054754,0.0492386668920517,47.14
dense,5,5,256,0.01,0.0032359978649765253,0.004416037816554308,0.003822281491011381,,,,,,,,0.003824772390847405,0.04148296142617861,83.0
dense,5,5,256,0.005,0.003238568315282464,0.0042974017560482025,0.0040970975533127785,,,,,,,,0.003877689208214482,0.04000396405657133,69.47
dense,5,5,256,0.001,0.002797621302306652,0.004341540392488241,0.0035756488796323538,,,,,,,,0.0035716035248090825,0.04022041708230972,81.48
dense,5,5,256,0.0005,0.004504729062318802,0.0077706072479486465,0.004743906203657389,,,,,,,,0.005673080837974946,0.04959894965092341,78.9
