FrameNo,pose_confidence,head_x,head_y,head_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_hand_x,left_hand_y,left_hand_confidence,right_hand_x,right_hand_y,right_hand_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_foot_x,left_foot_y,left_foot_confidence,right_foot_x,right_foot_y,right_foot_confidence
0,0.502520003914833,954,279,0.35977545380592346,1021,310,0.37979090213775635,911,314,0.6198112964630127,1057,172,0.43078532814979553,884,190,0.32146576046943665,1046,76,0.4389934539794922,906,96,0.16758306324481964,1009,545,0.6084632873535156,929,539,0.47689488530158997,1016,699,0.43483030796051025,915,706,0.5116713643074036,1023,848,0.47614336013793945,911,864,0.6568824648857117
1,0.5023570358753204,954,281,0.3731544613838196,1018,312,0.36890918016433716,911,316,0.6129329204559326,1052,171,0.3567666709423065,890,164,0.3732717037200928,1042,77,0.45019182562828064,964,62,0.21598267555236816,1009,545,0.5917260646820068,928,541,0.5055777430534363,1016,698,0.4499061107635498,916,705,0.5102894306182861,1023,849,0.4819588363170624,911,862,0.6546693444252014
2,0.5008785247802734,955,282,0.38202276825904846,1018,312,0.3822961449623108,911,317,0.6290462017059326,1051,170,0.40037158131599426,887,191,0.332263320684433,1045,79,0.4557268023490906,912,96,0.16564351320266724,1008,544,0.5776723623275757,927,539,0.48705315589904785,1015,695,0.4608374536037445,916,703,0.5183899402618408,1023,843,0.4568457305431366,911,856,0.6514593958854675
3,0.49950483441352844,955,283,0.388043075799942,1017,314,0.4010997712612152,911,319,0.6421415209770203,1049,176,0.36191752552986145,891,193,0.32102563977241516,1046,83,0.4854772388935089,918,98,0.16310535371303558,1006,544,0.5671170353889465,929,540,0.4620523452758789,1013,695,0.46565037965774536,915,702,0.5068134069442749,1022,845,0.4492317736148834,911,857,0.6372511386871338
4,0.5147037357091904,955,284,0.3989032208919525,1019,314,0.4279502332210541,910,319,0.6429799199104309,1053,169,0.373383492231369,888,191,0.31805166602134705,1046,79,0.4628274440765381,914,96,0.16105054318904877,1008,546,0.5998278260231018,929,542,0.4821580648422241,1015,697,0.45929375290870667,915,705,0.5016573667526245,1023,845,0.4744510352611542,910,859,0.6249544620513916
5,0.5189565986394882,956,285,0.4031938910484314,1019,315,0.44878074526786804,910,321,0.6469508409500122,1056,167,0.3782142400741577,886,192,0.3160926103591919,1048,80,0.4093068540096283,909,96,0.17222629487514496,1007,546,0.6035094857215881,929,541,0.4809834957122803,1014,699,0.3973671793937683,916,705,0.505918025970459,1023,845,0.4688931405544281,910,858,0.6265318989753723
6,0.515378788113594,955,285,0.3969861567020416,1019,315,0.4481372535228729,910,321,0.6447353959083557,1056,167,0.3710589110851288,886,191,0.31773003935813904,1048,83,0.4022403657436371,913,97,0.16813679039478302,1007,546,0.5946763753890991,929,541,0.47648173570632935,1013,698,0.3992112874984741,916,704,0.5077623724937439,1023,845,0.46448996663093567,910,858,0.623647153377533
7,0.522845908999443,954,284,0.3846283555030823,1020,315,0.4543997347354889,910,321,0.6472107768058777,1058,168,0.3774551749229431,885,191,0.3312664031982422,1045,82,0.37588760256767273,907,96,0.18386542797088623,1007,547,0.612384021282196,929,541,0.4820309281349182,1014,696,0.47028470039367676,916,704,0.5078356266021729,1023,845,0.46400490403175354,910,858,0.6222020387649536
8,0.5261509656906127,954,284,0.3872486650943756,1020,315,0.4606562554836273,910,321,0.644589900970459,1058,170,0.39983850717544556,885,191,0.3418825566768646,1053,96,0.5327584743499756,909,96,0.1794283092021942,1007,547,0.6101781725883484,929,541,0.4800979197025299,1014,696,0.47226035594940186,916,704,0.5081381797790527,1023,845,0.46639952063560486,910,859,0.6202904582023621
9,0.5294060617685318,955,284,0.3950223922729492,1021,315,0.4624943137168884,911,321,0.6388794779777527,1058,176,0.4567740559577942,886,192,0.3536360263824463,1055,99,0.6124655604362488,912,98,0.17299290001392365,1007,548,0.6140952110290527,929,541,0.49042510986328125,1014,698,0.4023686945438385,916,704,0.5055490732192993,1022,844,0.4606642425060272,911,858,0.6230133175849915
